AC,ID,DE,TP
PF09475.13,Dot_icm_IcmQ,Dot/Icm secretion system protein (dot_icm_IcmQ),Family
PF07680.14,DoxA,TQO small subunit DoxA,Family
PF04173.16,DoxD,TQO small subunit DoxD,Family
PF07681.15,DoxX,DoxX,Family
PF13564.9,DoxX_2,DoxX-like family,Family
PF13781.9,DoxX_3,DoxX-like family,Family
PF08781.13,DP,Transcription factor DP,Domain
PF08985.14,DP-EP,DP-EP family,Domain
PF16924.8,DpaA_N,Dipicolinate synthase subunit A N-terminal domain,Domain
PF03330.21,DPBB_1,Lytic transglycolase,Domain
PF14913.9,DPCD,DPCD protein family,Family
PF14051.9,DPF1-3_N,"DPF1-3, N-terminal",Family
PF07297.15,DPM2,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2),Family
PF08285.14,DPM3,Dolichol-phosphate mannosyltransferase subunit 3 (DPM3),Family
PF14207.9,DpnD-PcfM,DpnD/PcfM-like protein,Family
PF06044.15,DpnI,Dam-replacing family,Family
PF04556.15,DpnII,DpnII restriction endonuclease,Family
PF18742.4,DpnII-MboI,REase_DpnII-MboI,Domain
PF17726.4,DpnI_C,Dam-replacing HTH domain,Domain
PF12213.11,Dpoe2NT,DNA polymerases epsilon N terminal,Domain
PF14049.9,Dppa2_A,Dppa2/4 conserved region in higher vertebrates,Family
PF00930.24,DPPIV_N,Dipeptidyl peptidase IV (DPP IV) N-terminal region,Repeat
PF18811.4,DPPIV_rep,Dipeptidyl peptidase IV (DPP IV) low complexity region,Repeat
PF19520.2,Dpp_8_9_N,Dipeptidyl peptidase 8 and 9 N-terminal,Repeat
PF17782.4,DprA_WH,DprA winged helix domain,Domain
PF04244.16,DPRP,Deoxyribodipyrimidine photo-lyase-related protein,Family
PF05186.16,Dpy-30,Dpy-30 motif,Motif
PF10034.12,Dpy19,Q-cell neuroblast polarisation,Family
PF18069.4,DR2241,DR2241 stabilising domain,Domain
PF18092.4,DraK_HK_N,DraK Histidine Kinase N-terminal domain,Domain
PF07357.14,DRAT,Dinitrogenase reductase ADP-ribosyltransferase (DRAT),Family
PF15550.9,Draxin,Draxin,Family
PF11719.11,Drc1-Sld2,DNA replication and checkpoint protein,Family
PF16803.8,DRE2_N,Fe-S cluster assembly protein DRE2 N-terminus,Domain
PF05558.15,DREPP,DREPP plasma membrane polypeptide,Family
PF05219.15,DREV,DREV methyltransferase,Family
PF06345.14,Drf_DAD,DRF Autoregulatory Domain,Motif
PF06346.15,Drf_FH1,Formin Homology Region 1,Repeat
PF06367.19,Drf_FH3,Diaphanous FH3 Domain,Repeat
PF06371.16,Drf_GBD,Diaphanous GTPase-binding Domain,Repeat
PF20309.1,DRHyd-ASK,Deoxyribohydrolase (DRHyd) domain of the ASK signalosome,Family
PF07539.15,DRIM,Down-regulated in metastasis,Family
PF07522.17,DRMBL,DNA repair metallo-beta-lactamase,Domain
PF14860.9,DrrA_P4M,DrrA phosphatidylinositol 4-phosphate binding domain,Domain
PF02635.18,DrsE,DsrE/DsrF-like family,Domain
PF13686.9,DrsE_2,DsrE/DsrF/DrsH-like family,Family
PF07085.15,DRTGG,DRTGG domain,Domain
PF09750.12,DRY_EERY,Alternative splicing regulator,Domain
PF12393.11,Dr_adhesin,Dr family adhesin,Family
PF01916.20,DS,Deoxyhypusine synthase,Domain
PF01323.23,DSBA,DSBA-like thioredoxin domain,Domain
PF02600.19,DsbB,Disulfide bond formation protein DsbB,Family
PF11412.11,DsbC,Disulphide bond corrector protein DsbC,Domain
PF10411.12,DsbC_N,Disulfide bond isomerase protein N-terminus,Domain
PF02683.18,DsbD,Cytochrome C biogenesis protein transmembrane region,Family
PF13386.9,DsbD_2,Cytochrome C biogenesis protein transmembrane region,Family
PF18257.4,DsbG_N,Disulfide isomerase DsbG N-terminal,Domain
PF13373.9,Dsc3_C,"DSC E3 ubiquitin ligase complex subunit 3, C-terminal domain",Domain
PF10302.12,Dsc3_N,"DSC E3 ubiquitin ligase complex subunit 3, ubiquitin-like domain",Domain
PF12355.11,Dscam_C,Down syndrome cell adhesion molecule C terminal,Family
PF01984.23,dsDNA_bind,Double-stranded DNA-binding domain,Family
PF08148.15,DSHCT,DSHCT (NUC185) domain,Domain
PF12316.11,Dsh_C,Segment polarity protein dishevelled (Dsh) C terminal,Family
PF01414.22,DSL,Delta serrate ligand,Domain
PF11989.11,Dsl1_C,Retrograde transport protein Dsl1 C terminal,Domain
PF11988.11,Dsl1_N,Retrograde transport protein Dsl1 N terminal,Domain
PF00782.23,DSPc,"Dual specificity phosphatase, catalytic domain",Domain
PF14671.9,DSPn,"Dual specificity protein phosphatase, N-terminal half",Domain
PF10781.12,DSRB,Dextransucrase DSRB,Family
PF17842.4,dsRBD2,Double-stranded RNA binding domain 2,Domain
PF04358.16,DsrC,DsrC like protein,Family
PF08679.14,DsrD,Dissimilatory sulfite reductase D (DsrD),Family
PF04077.15,DsrH,DsrH like protein,Domain
PF00035.29,dsrm,Double-stranded RNA binding motif,Domain
PF05160.16,DSS1_SEM1,DSS1/SEM1 family,Family
PF08828.13,DSX_dimer,Doublesex dimerisation domain,Domain
PF18102.4,DTC,Deltex C-terminal domain,Domain
PF00908.20,dTDP_sugar_isom,"dTDP-4-dehydrorhamnose 3,5-epimerase",Domain
PF08070.14,DTHCT,DTHCT (NUC029) region,Family
PF03942.18,DTW,DTW domain,Domain
PF18357.4,DtxR,Diphteria toxin repressor SH3 domain,Domain
PF06207.14,DUF1002,Protein of unknown function (DUF1002),Family
PF06210.14,DUF1003,Protein of unknown function (DUF1003),Family
PF06219.15,DUF1005,Protein of unknown function (DUF1005),Family
PF06226.16,DUF1007,Protein of unknown function (DUF1007),Family
PF06231.14,DUF1010,Protein of unknown function (DUF1010),Family
PF06237.15,DUF1011,Protein of unknown function (DUF1011),Family
PF06245.14,DUF1015,Protein of unknown function (DUF1015),Family
PF17761.4,DUF1016_N,DUF1016 N-terminal domain,Family
PF06260.15,DUF1024,Protein of unknown function (DUF1024),Family
PF06267.15,DUF1028,Family of unknown function (DUF1028),Family
PF06269.15,DUF1029,Protein of unknown function (DUF1029),Family
PF06270.14,DUF1030,Protein of unknown function (DUF1030),Family
PF06275.14,DUF1031,Protein of unknown function (DUF1031),Family
PF06279.14,DUF1033,Protein of unknown function (DUF1033),Family
PF06282.14,DUF1036,Protein of unknown function (DUF1036),Family
PF06287.14,DUF1039,Protein of unknown function (DUF1039),Family
PF06288.16,DUF1040,Protein of unknown function (DUF1040),Family
PF06295.15,DUF1043,Protein of unknown function (DUF1043),Family
PF06299.15,DUF1045,Protein of unknown function (DUF1045),Family
PF06304.14,DUF1048,Protein of unknown function (DUF1048),Family
PF06335.15,DUF1054,Protein of unknown function (DUF1054),Family
PF06341.14,DUF1056,Protein of unknown function (DUF1056),Family
PF06342.15,DUF1057,Alpha/beta hydrolase of unknown function (DUF1057),Family
PF06348.14,DUF1059,Protein of unknown function (DUF1059),Family
PF06353.15,DUF1062,Protein of unknown function (DUF1062),Family
PF06356.14,DUF1064,Protein of unknown function (DUF1064),Family
PF06362.14,DUF1067,Protein of unknown function (DUF1067),Family
PF06364.15,DUF1068,Protein of unknown function (DUF1068),Family
PF06370.14,DUF1069,Protein of unknown function (DUF1069),Family
PF06378.14,DUF1071,Protein of unknown function (DUF1071),Family
PF06380.14,DUF1072,Protein of unknown function (DUF1072),Family
PF06381.14,DUF1073,Protein of unknown function (DUF1073),Family
PF06388.14,DUF1075,Protein of unknown function (DUF1075),Family
PF06417.15,DUF1077,Protein of unknown function (DUF1077),Family
PF06435.14,DUF1079,Repeat of unknown function (DUF1079),Repeat
PF06448.14,DUF1081,Domain of Unknown Function (DUF1081),Family
PF06465.16,DUF1087,"CHD subfamily II, DUF1087",Domain
PF06469.14,DUF1088,"Neurobeachin-like, DUF1088",Domain
PF06476.15,DUF1090,Protein of unknown function (DUF1090),Family
PF06477.16,DUF1091,Protein of unknown function (DUF1091),Domain
PF06486.14,DUF1093,Protein of unknown function (DUF1093),Family
PF06493.14,DUF1096,Protein of unknown function (DUF1096),Family
PF06496.14,DUF1097,Protein of unknown function (DUF1097),Family
PF01345.21,DUF11,Domain of unknown function DUF11,Domain
PF06503.14,DUF1101,Protein of unknown function (DUF1101),Family
PF06510.14,DUF1102,Protein of unknown function (DUF1102),Family
PF06513.14,DUF1103,Repeat of unknown function (DUF1103),Disordered
PF06518.14,DUF1104,Protein of unknown function (DUF1104),Family
PF06523.14,DUF1106,Protein of unknown function (DUF1106),Family
PF06526.15,DUF1107,Protein of unknown function (DUF1107),Family
PF06531.14,DUF1108,Protein of unknown function (DUF1108),Family
PF06533.15,DUF1110,Protein of unknown function (DUF1110),Family
PF06544.15,DUF1115,Protein of unknown function (DUF1115),Domain
PF06545.14,DUF1116,Protein of unknown function (DUF1116),Family
PF06547.15,DUF1117,Protein of unknown function (DUF1117),Family
PF06549.15,DUF1118,Protein of unknown function (DUF1118),Family
PF06551.15,DUF1120,Protein of unknown function (DUF1120),Family
PF06557.14,DUF1122,Protein of unknown function (DUF1122),Family
PF06563.14,DUF1125,Protein of unknown function (DUF1125),Family
PF06568.14,DUF1127,Domain of unknown function (DUF1127),Domain
PF06569.14,DUF1128,Protein of unknown function (DUF1128),Family
PF06570.14,DUF1129,Protein of unknown function (DUF1129),Family
PF06572.15,DUF1131,Protein of unknown function (DUF1131),Family
PF06575.15,DUF1132,Protein of unknown function (DUF1132),Family
PF06576.14,DUF1133,Protein of unknown function (DUF1133),Family
PF06587.14,DUF1137,Protein of unknown function (DUF1137),Family
PF06592.16,DUF1138,Protein of unknown function (DUF1138),Family
PF06599.14,DUF1139,Protein of unknown function (DUF1139),Family
PF06600.14,DUF1140,Protein of unknown function (DUF1140),Family
PF06608.14,DUF1143,Protein of unknown function (DUF1143),Family
PF06611.15,DUF1145,Protein of unknown function (DUF1145),Family
PF06612.14,DUF1146,Protein of unknown function (DUF1146),Family
PF06618.14,DUF1148,Protein of unknown function (DUF1148),Family
PF06619.14,DUF1149,Protein of unknown function (DUF1149),Family
PF06620.14,DUF1150,Protein of unknown function (DUF1150),Family
PF06625.14,DUF1151,Protein of unknown function (DUF1151),Family
PF06626.15,DUF1152,Protein of unknown function (DUF1152),Family
PF06627.14,DUF1153,Protein of unknown function (DUF1153),Family
PF06631.14,DUF1154,Protein of unknown function (DUF1154),Family
PF06633.14,DUF1155,Protein of unknown function (DUF1155),Family
PF06634.15,DUF1156,Protein of unknown function (DUF1156),Family
PF06636.14,DUF1157,Protein of unknown function (DUF1157),Family
PF06643.14,DUF1158,Protein of unknown function (DUF1158),Family
PF01976.20,DUF116,Protein of unknown function DUF116,Family
PF06649.15,DUF1161,Protein of unknown function (DUF1161),Family
PF06651.14,DUF1163,Protein of unknown function (DUF1163),Family
PF06658.15,DUF1168,Protein of unknown function (DUF1168),Family
PF06666.14,DUF1173,Protein of unknown function (DUF1173),Family
PF06671.14,DUF1174,Repeat of unknown function (DUF1174),Repeat
PF06672.14,DUF1175,Protein of unknown function (DUF1175),Family
PF06674.14,DUF1176,Protein of unknown function (DUF1176),Family
PF06675.14,DUF1177,Protein of unknown function (DUF1177),Family
PF06676.14,DUF1178,Protein of unknown function (DUF1178),Family
PF06678.14,DUF1179,Protein of unknown function (DUF1179),Family
PF06679.15,DUF1180,Protein of unknown function (DUF1180),Family
PF06680.14,DUF1181,Protein of unknown function (DUF1181),Family
PF06681.16,DUF1182,Protein of unknown function (DUF1182),Family
PF06683.14,DUF1184,Protein of unknown function (DUF1184),Family
PF06685.14,DUF1186,Protein of unknown function (DUF1186),Family
PF06688.14,DUF1187,Protein of unknown function (DUF1187),Family
PF06691.14,DUF1189,Protein of unknown function (DUF1189),Family
PF06693.14,DUF1190,Protein of unknown function (DUF1190),Family
PF06697.15,DUF1191,Protein of unknown function (DUF1191),Family
PF06698.14,DUF1192,Protein of unknown function (DUF1192),Family
PF06707.14,DUF1194,Protein of unknown function (DUF1194),Family
PF06708.14,DUF1195,Protein of unknown function (DUF1195),Family
PF06711.14,DUF1198,Protein of unknown function (DUF1198),Family
PF06712.14,DUF1199,Protein of unknown function (DUF1199),Family
PF06717.14,DUF1202,Protein of unknown function (DUF1202),Family
PF06718.14,DUF1203,Protein of unknown function (DUF1203),Family
PF06721.14,DUF1204,Protein of unknown function (DUF1204),Family
PF06722.15,DUF1205,Protein of unknown function (DUF1205),Family
PF06724.14,DUF1206,Domain of Unknown Function (DUF1206),Family
PF06727.14,DUF1207,Protein of unknown function (DUF1207),Family
PF06740.15,DUF1213,Protein of unknown function (DUF1213),Repeat
PF06742.14,DUF1214,Protein of unknown function (DUF1214),Domain
PF06746.14,DUF1216,Protein of unknown function (DUF1216),Family
PF06748.15,DUF1217,Protein of unknown function (DUF1217),Family
PF06749.15,DUF1218,Protein of unknown function (DUF1218),Family
PF06760.14,DUF1221,Protein of unknown function (DUF1221),Family
PF06764.14,DUF1223,Protein of unknown function (DUF1223),Family
PF06797.14,DUF1229,Protein of unknown function (DUF1229),Family
PF01986.19,DUF123,Domain of unknown function DUF123,Family
PF06802.14,DUF1231,Protein of unknown function (DUF1231),Family
PF06803.15,DUF1232,Protein of unknown function (DUF1232),Family
PF06806.15,DUF1233,Putative excisionase (DUF1233),Family
PF06822.15,DUF1235,Protein of unknown function (DUF1235),Family
PF06823.15,DUF1236,Protein of unknown function (DUF1236),Family
PF06836.15,DUF1240,Protein of unknown function (DUF1240),Family
PF06840.14,DUF1241,Protein of unknown function (DUF1241),Family
PF06842.15,DUF1242,Protein of unknown function (DUF1242),Family
PF06844.14,DUF1244,Protein of unknown function (DUF1244),Family
PF06849.15,DUF1246,Protein of unknown function (DUF1246),Family
PF06851.14,DUF1247,Protein of unknown function (DUF1247),Family
PF06852.15,DUF1248,Protein of unknown function (DUF1248),Family
PF06853.15,DUF1249,Protein of unknown function (DUF1249),Family
PF06863.15,DUF1254,Protein of unknown function (DUF1254),Domain
PF06866.14,DUF1256,Protein of unknown function (DUF1256),Family
PF06868.14,DUF1257,Protein of unknown function (DUF1257),Family
PF06869.15,DUF1258,Protein of unknown function (DUF1258),Family
PF06880.14,DUF1262,Protein of unknown function (DUF1262),Family
PF06882.15,DUF1263,Protein of unknown function (DUF1263),Family
PF06884.14,DUF1264,Protein of unknown function (DUF1264),Family
PF06887.17,DUF1265,Protein of unknown function (DUF1265),Family
PF06889.14,DUF1266,Protein of unknown function (DUF1266),Family
PF06897.15,DUF1269,Protein of unknown function (DUF1269),Family
PF06900.14,DUF1270,Protein of unknown function (DUF1270),Family
PF06906.14,DUF1272,Protein of unknown function (DUF1272),Family
PF06912.14,DUF1275,Protein of unknown function (DUF1275),Family
PF06918.17,DUF1280,Protein of unknown function (DUF1280),Family
PF06924.14,DUF1281,Protein of unknown function (DUF1281),Family
PF18406.4,DUF1281_C,Ferredoxin-like domain in Api92-like protein,Domain
PF06932.14,DUF1283,Protein of unknown function (DUF1283),Family
PF06935.14,DUF1284,Protein of unknown function (DUF1284),Family
PF06938.14,DUF1285,Protein of unknown function (DUF1285),Family
PF06939.14,DUF1286,Protein of unknown function (DUF1286),Family
PF06940.14,DUF1287,Domain of unknown function (DUF1287),Domain
PF06945.16,DUF1289,Protein of unknown function (DUF1289),Family
PF06947.15,DUF1290,Protein of unknown function (DUF1290),Family
PF06949.14,DUF1292,Protein of unknown function (DUF1292),Family
PF06950.14,DUF1293,Protein of unknown function (DUF1293),Family
PF06961.16,DUF1294,Protein of unknown function (DUF1294),Family
PF06966.15,DUF1295,Protein of unknown function (DUF1295),Family
PF06973.15,DUF1297,Domain of unknown function (DUF1297),Domain
PF06975.14,DUF1299,Protein of unknown function (DUF1299),Family
PF06980.14,DUF1302,Protein of unknown function (DUF1302),Domain
PF06993.15,DUF1304,Protein of unknown function (DUF1304),Domain
PF06998.14,DUF1307,Protein of unknown function (DUF1307),Family
PF07000.14,DUF1308,Protein of unknown function (DUF1308),Domain
PF01998.20,DUF131,Protein of unknown function DUF131,Family
PF07006.14,DUF1310,Protein of unknown function (DUF1310),Family
PF07013.14,DUF1314,Protein of unknown function (DUF1314),Family
PF07023.15,DUF1315,Protein of unknown function (DUF1315),Family
PF07026.14,DUF1317,Protein of unknown function (DUF1317),Family
PF07027.15,DUF1318,Protein of unknown function (DUF1318),Family
PF07028.14,DUF1319,Protein of unknown function (DUF1319),Family
PF07032.14,DUF1322,Protein of unknown function (DUF1322),Family
PF07037.14,DUF1323,Putative transcription regulator (DUF1323),Family
PF07039.14,DUF1325,SGF29 tudor-like domain,Domain
PF07040.14,DUF1326,Protein of unknown function (DUF1326),Family
PF07041.14,DUF1327,Protein of unknown function (DUF1327),Family
PF07043.16,DUF1328,Protein of unknown function (DUF1328),Family
PF07044.14,DUF1329,Protein of unknown function (DUF1329),Family
PF07045.14,DUF1330,Domain of unknown function (DUF1330),Domain
PF07048.14,DUF1331,Protein of unknown function (DUF1331),Family
PF07056.14,DUF1335,Protein of unknown function (DUF1335),Family
PF07063.16,DUF1338,Domain of unknown function (DUF1338),Domain
PF02001.19,DUF134,Protein of unknown function DUF134,Family
PF07067.14,DUF1340,Protein of unknown function (DUF1340),Family
PF07075.14,DUF1343,Protein of unknown function (DUF1343),Family
PF07076.14,DUF1344,Protein of unknown function (DUF1344),Family
PF07077.14,DUF1345,Protein of unknown function (DUF1345),Family
PF07079.14,DUF1347,Protein of unknown function (DUF1347),Family
PF07080.14,DUF1348,Protein of unknown function (DUF1348),Domain
PF07081.14,DUF1349,Protein of unknown function (DUF1349),Domain
PF07082.14,DUF1350,Protein of unknown function (DUF1350),Family
PF07083.14,DUF1351,Protein of unknown function (DUF1351),Family
PF07087.14,DUF1353,Protein of unknown function (DUF1353),Family
PF07092.15,DUF1356,Protein of unknown function (DUF1356),Family
PF07094.14,DUF1357,Protein of unknown function (DUF1357),Family
PF07096.14,DUF1358,Protein of unknown function (DUF1358),Family
PF07097.14,DUF1359,Protein of unknown function (DUF1359),Family
PF07098.14,DUF1360,Protein of unknown function (DUF1360),Family
PF07099.14,DUF1361,Protein of unknown function (DUF1361),Family
PF07101.14,DUF1363,Protein of unknown function (DUF1363),Family
PF07103.14,DUF1365,Protein of unknown function (DUF1365),Family
PF07104.14,DUF1366,Protein of unknown function (DUF1366),Family
PF07105.14,DUF1367,Protein of unknown function (DUF1367),Family
PF07112.14,DUF1368,Protein of unknown function (DUF1368),Family
PF07116.14,DUF1372,Protein of unknown function (DUF1372),Family
PF07117.14,DUF1373,Protein of unknown function (DUF1373),Family
PF07118.14,DUF1374,Protein of unknown function (DUF1374),Family
PF07119.15,DUF1375,Protein of unknown function (DUF1375),Family
PF07120.14,DUF1376,Protein of unknown function (DUF1376),Family
PF07125.14,DUF1378,Protein of unknown function (DUF1378),Family
PF07128.15,DUF1380,Protein of unknown function (DUF1380),Family
PF07129.14,DUF1381,Protein of unknown function (DUF1381),Family
PF07131.14,DUF1382,Protein of unknown function (DUF1382),Family
PF07136.14,DUF1385,Protein of unknown function (DUF1385),Family
PF07139.14,DUF1387,Protein of unknown function (DUF1387),Family
PF07142.15,DUF1388,Repeat of unknown function (DUF1388),Repeat
PF07146.14,DUF1389,Protein of unknown function (DUF1389),Family
PF07150.14,DUF1390,Protein of unknown function (DUF1390),Family
PF07151.15,DUF1391,Protein of unknown function (DUF1391),Family
PF07154.14,DUF1392,Protein of unknown function (DUF1392),Family
PF07165.14,DUF1397,Protein of unknown function (DUF1397),Family
PF07166.14,DUF1398,Protein of unknown function (DUF1398),Family
PF07176.14,DUF1400,Alpha/beta hydrolase of unknown function (DUF1400),Family
PF07182.14,DUF1402,Protein of unknown function (DUF1402),Family
PF07183.14,DUF1403,Protein of unknown function (DUF1403),Family
PF07185.14,DUF1404,Protein of unknown function (DUF1404),Family
PF07187.14,DUF1405,Protein of unknown function (DUF1405),Family
PF07190.14,DUF1406,Protein of unknown function (DUF1406),Family
PF07193.14,DUF1408,Protein of unknown function (DUF1408),Family
PF07197.15,DUF1409,Protein of unknown function (DUF1409),Family
PF07198.14,DUF1410,Protein of unknown function (DUF1410),Domain
PF07199.14,DUF1411,Protein of unknown function (DUF1411),Family
PF07203.14,DUF1412,Protein of unknown function (DUF1412),Family
PF07205.14,DUF1413,Domain of unknown function (DUF1413),Domain
PF07208.14,DUF1414,Protein of unknown function (DUF1414),Family
PF07209.15,DUF1415,Protein of unknown function (DUF1415),Family
PF07210.15,DUF1416,Protein of unknown function (DUF1416),Family
PF07214.15,DUF1418,Protein of unknown function (DUF1418),Family
PF07215.14,DUF1419,Protein of unknown function (DUF1419),Family
PF07220.14,DUF1420,Protein of unknown function (DUF1420),Family
PF07223.14,DUF1421,UBA-like domain (DUF1421),Domain
PF07226.14,DUF1422,Protein of unknown function (DUF1422),Family
PF07232.14,DUF1424,Putative rep protein (DUF1424),Family
PF07233.15,DUF1425,Protein of unknown function (DUF1425),Family
PF07235.14,DUF1427,Protein of unknown function (DUF1427),Family
PF07237.14,DUF1428,Protein of unknown function (DUF1428),Domain
PF07242.14,DUF1430,Protein of unknown function (DUF1430),Family
PF07248.15,DUF1431,Protein of unknown function (DUF1431),Family
PF07252.14,DUF1433,Protein of unknown function (DUF1433),Family
PF07256.15,DUF1435,Protein of unknown function (DUF1435),Family
PF07270.14,DUF1438,Protein of unknown function (DUF1438),Family
PF07273.15,DUF1439,Protein of unknown function (DUF1439),Family
PF07274.15,DUF1440,Protein of unknown function (DUF1440),Family
PF07278.14,DUF1441,Protein of unknown function (DUF1441),Family
PF07279.14,DUF1442,Protein of unknown function (DUF1442),Family
PF07285.14,DUF1444,Protein of unknown function (DUF1444),Family
PF07290.14,DUF1449,Protein of unknown function (DUF1449),Family
PF07293.14,DUF1450,Protein of unknown function (DUF1450),Family
PF07295.14,DUF1451,Zinc-ribbon containing domain,Family
PF07301.14,DUF1453,CcdC protein,Family
PF07305.15,DUF1454,Protein of unknown function (DUF1454),Family
PF07306.14,DUF1455,Protein of unknown function (DUF1455),Family
PF07308.16,DUF1456,Protein of unknown function (DUF1456),Domain
PF07312.14,DUF1459,Protein of unknown function (DUF1459),Family
PF07313.15,DUF1460,Protein of unknown function (DUF1460),Family
PF07314.14,DUF1461,Protein of unknown function (DUF1461),Family
PF07315.14,DUF1462,Protein of unknown function (DUF1462),Family
PF07316.14,DUF1463,Protein of unknown function (DUF1463),Family
PF07318.15,DUF1464,Protein of unknown function (DUF1464),Family
PF07323.15,DUF1465,Protein of unknown function (DUF1465),Family
PF07330.15,DUF1467,Protein of unknown function (DUF1467),Family
PF07341.14,DUF1473,Protein of unknown function (DUF1473),Family
PF07342.14,DUF1474,Protein of unknown function (DUF1474),Family
PF07343.14,DUF1475,Protein of unknown function (DUF1475),Family
PF07345.14,DUF1476,ATPase inhibitor subunit zeta,Domain
PF07346.14,DUF1477,Protein of unknown function (DUF1477),Family
PF07349.14,DUF1478,Protein of unknown function (DUF1478),Family
PF07350.15,DUF1479,Protein of unknown function (DUF1479),Family
PF07351.16,DUF1480,Protein of unknown function (DUF1480),Family
PF07356.15,DUF1481,Protein of unknown function (DUF1481),Family
PF07358.14,DUF1482,Protein of unknown function (DUF1482),Family
PF07363.14,DUF1484,Protein of unknown function (DUF1484),Family
PF07364.15,DUF1485,Metallopeptidase family M81,Domain
PF07368.14,DUF1487,Protein of unknown function (DUF1487),Family
PF07369.14,DUF1488,Protein of unknown function (DUF1488),Family
PF07370.14,DUF1489,Protein of unknown function (DUF1489),Family
PF07371.15,DUF1490,Protein of unknown function (DUF1490),Family
PF07372.15,DUF1491,Protein of unknown function (DUF1491),Family
PF07374.14,DUF1492,Protein of unknown function (DUF1492),Family
PF07377.15,DUF1493,Protein of unknown function (DUF1493),Domain
PF07379.14,DUF1494,Protein of unknown function (DUF1494),Family
PF07381.14,DUF1495,Winged helix DNA-binding domain (DUF1495),Domain
PF07383.15,DUF1496,Protein of unknown function (DUF1496),Family
PF07384.14,DUF1497,Protein of unknown function (DUF1497),Family
PF07386.14,DUF1499,Protein of unknown function (DUF1499),Family
PF07394.15,DUF1501,Protein of unknown function (DUF1501),Family
PF07397.14,DUF1502,Repeat of unknown function (DUF1502),Repeat
PF07403.14,DUF1505,Protein of unknown function (DUF1505),Family
PF07405.14,DUF1506,Protein of unknown function (DUF1506),Family
PF07408.14,DUF1507,Protein of unknown function (DUF1507),Family
PF07411.15,DUF1508,Domain of unknown function (DUF1508),Domain
PF07420.14,DUF1509,Protein of unknown function (DUF1509),Family
PF17384.5,DUF150_C,RimP C-terminal SH3 domain,Domain
PF07423.14,DUF1510,Domain of unknown function (DUF1510),Domain
PF07431.15,DUF1512,Protein of unknown function (DUF1512),Family
PF07433.14,DUF1513,Protein of unknown function (DUF1513),Repeat
PF07438.14,DUF1514,Protein of unknown function (DUF1514),Family
PF07439.14,DUF1515,Protein of unknown function (DUF1515),Family
PF07457.14,DUF1516,Protein of unknown function (DUF1516),Family
PF07466.14,DUF1517,Protein of unknown function (DUF1517),Family
PF07469.15,DUF1518,"Nuclear receptor coactivator, DUF1518",Domain
PF07481.14,DUF1521,Domain of Unknown Function (DUF1521),Family
PF07482.14,DUF1522,Domain of Unknown Function (DUF1522),Family
PF07509.14,DUF1523,Protein of unknown function (DUF1523),Family
PF07510.14,DUF1524,Protein of unknown function (DUF1524),Domain
PF07511.14,DUF1525,Protein of unknown function (DUF1525),Family
PF07485.14,DUF1529,Domain of Unknown Function (DUF1259),Family
PF07550.14,DUF1533,Protein of unknown function (DUF1533),Family
PF07556.14,DUF1538,Protein of unknown function (DUF1538),Family
PF07560.14,DUF1539,Domain of Unknown Function (DUF1539),Family
PF07561.14,DUF1540,Domain of Unknown Function (DUF1540),Family
PF07563.14,DUF1541,Protein of unknown function (DUF1541),Family
PF07564.14,DUF1542,Domain of Unknown Function (DUF1542),Domain
PF07566.15,DUF1543,Domain of Unknown Function (DUF1543),Domain
PF07577.14,DUF1547,Domain of Unknown Function (DUF1547),Domain
PF07579.14,DUF1548,Domain of Unknown Function (DUF1548),Family
PF02582.17,DUF155,"RMND1/Sif2-Sif3/Mrx10, DUF155",Domain
PF07588.14,DUF1554,Protein of unknown function (DUF1554),Family
PF07590.14,DUF1556,Protein of unknown function (DUF1556),Family
PF07598.14,DUF1561,Protein of unknown function (DUF1561),Family
PF07599.14,DUF1563,Protein of unknown function (DUF1563),Family
PF07600.14,DUF1564,Protein of unknown function (DUF1564),Family
PF07602.14,DUF1565,Protein of unknown function (DUF1565),Repeat
PF07603.14,DUF1566,Protein of unknown function (DUF1566),Family
PF07606.14,DUF1569,Protein of unknown function (DUF1569),Family
PF07607.14,DUF1570,Protein of unknown function (DUF1570),Family
PF07608.14,DUF1571,Protein of unknown function (DUF1571),Domain
PF07609.14,DUF1572,Protein of unknown function (DUF1572),Family
PF07610.14,DUF1573,Protein of unknown function (DUF1573),Family
PF07611.14,DUF1574,Protein of unknown function (DUF1574),Family
PF07613.14,DUF1576,Protein of unknown function (DUF1576),Family
PF07614.14,DUF1577,Protein of unknown function (DUF1577),Family
PF07617.14,DUF1579,Protein of unknown function (DUF1579),Domain
PF07618.14,DUF1580,Protein of unknown function (DUF1580),Family
PF07619.14,DUF1581,Protein of unknown function (DUF1581),Family
PF07621.14,DUF1582,Protein of unknown function (DUF1582),Family
PF07622.14,DUF1583,Protein of unknown function (DUF1583) C domain,Domain
PF20407.1,DUF1583_N,Domain of unknown function (DUF1583_N),Domain
PF07628.14,DUF1589,Protein of unknown function (DUF1589),Family
PF07632.14,DUF1593,Protein of unknown function (DUF1593),Family
PF07643.14,DUF1598,Protein of unknown function (DUF1598),Family
PF07659.14,DUF1599,Nucleotide modification associated domain 1,Domain
PF01519.19,DUF16,Protein of unknown function DUF16,Coiled-coil
PF07667.14,DUF1600,Protein of unknown function (DUF1600),Family
