rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF02176,SMAD5 antisense RNA 1 conserved region 4,Gene; lncRNA;,52,205,8872,170.6,83,Rfam full
RF02178,"Smith-Magenis syndrome chromosome region, candidate 2 conserved region 2",Gene; lncRNA;,22,233,3576,162.5,71,Rfam full
RF00820,mir-248 microRNA precursor family,Gene; miRNA;,6,95,559,93.2,79,Rfam full
RF00419,Small nucleolar RNA SNORA52,Gene; snRNA; snoRNA; HACA-box;,135,173,17956,133.0,67,Rfam full
RF00102,VA RNA,Gene;,130,371,20522,157.9,57,Rfam full
RF02177,"Smith-Magenis syndrome chromosome region, candidate 2 conserved region 1",Gene; lncRNA;,27,196,4236,156.9,69,Rfam full
RF02179,ST7 antisense RNA 1 conserved region 1,Gene; lncRNA;,56,220,6606,118.0,75,Rfam full
RF02181,ST7 antisense RNA 2 conserved region 1,Gene; lncRNA;,13,72,930,71.5,93,Rfam full
RF02180,ST7 antisense RNA 1 conserved region 2,Gene; lncRNA;,54,120,5840,108.1,78,Rfam full
RF02183,ST7 overlapping transcript 3 conserved region 1,Gene; lncRNA;,64,80,4893,76.5,78,Rfam full
RF02182,ST7 antisense RNA 2 conserved region 2,Gene; lncRNA;,21,55,995,47.4,85,Rfam full
RF02184,ST7 overlapping transcript 3 conserved region 2,Gene; lncRNA;,98,143,13491,137.7,97,Rfam full
RF02185,ST7 overlapping transcript 3 conserved region 3,Gene; lncRNA;,56,176,6578,117.5,68,Rfam full
RF02186,ST7 overlapping transcript 3 conserved region 4,Gene; lncRNA;,17,74,1243,73.1,90,Rfam full
RF02187,ST7 overlapping transcript 4 conserved region 1,Gene; lncRNA;,55,286,10791,196.2,69,Rfam full
RF00823,lsy-6 microRNA precursor family,Gene; miRNA;,6,77,436,72.7,81,Rfam full
RF02188,ST7 overlapping transcript 4 conserved region 2,Gene; lncRNA;,64,251,10817,169.0,70,Rfam full
RF02189,ST7 overlapping transcript 4 conserved region 3,Gene; lncRNA;,56,501,16290,290.9,66,Rfam full
RF02190,ST7 overlapping transcript 4 conserved region 4,Gene; lncRNA;,57,317,11806,207.1,76,Rfam full
RF02192,T-cell leukemia/lymphoma 6 conserved region 2,Gene; lncRNA;,38,166,4638,122.1,68,Rfam full
RF02191,T-cell leukemia/lymphoma 6 conserved region 1,Gene; lncRNA;,30,124,3320,110.7,76,Rfam full
RF02194,Bacterial antisense RNA HPnc0260,Gene; antisense;,172,393,25069,145.8,44,Rfam full
RF02195,TP53 target 1 conserved region 1,Gene; lncRNA;,45,239,6742,149.8,69,Rfam full
RF02193,T-cell leukemia/lymphoma 6 conserved region 3,Gene; lncRNA;,54,175,7325,135.6,72,Rfam full
RF02197,TP73 antisense RNA 1 conserved region,Gene; lncRNA;,13,172,2079,159.9,84,Rfam full
RF02196,TP53 target 1 conserved region 2,Gene; lncRNA;,30,217,5349,178.3,67,Rfam full
RF00822,microRNA mir-274,Gene; miRNA;,37,172,3733,100.9,71,Rfam full
RF02198,TTC28 antisense RNA 1 conserved region 1,Gene; lncRNA;,36,193,5780,160.6,70,Rfam full
RF02199,TTC28 antisense RNA 1 conserved region 2,Gene; lncRNA;,28,191,4201,150.0,76,Rfam full
RF02204,WT1 antisense RNA conserved region 2,Gene; lncRNA;,45,160,5940,132.0,74,Rfam full
RF02200,TTC28 antisense RNA 1 conserved region 3,Gene; lncRNA;,24,333,4235,176.5,68,Rfam full
RF02203,WT1 antisense RNA conserved region 1,Gene; lncRNA;,39,131,4190,107.4,80,Rfam full
RF02205,WT1 antisense RNA conserved region 3,Gene; lncRNA;,53,354,12303,232.1,70,Rfam full
RF02207,WT1 antisense RNA conserved region 5,Gene; lncRNA;,13,84,1013,77.9,95,Rfam full
RF02206,WT1 antisense RNA conserved region 4,Gene; lncRNA;,37,165,4812,130.1,70,Rfam full
RF02209,WT1 antisense RNA conserved region 7,Gene; lncRNA;,86,503,23966,278.7,77,Rfam full
RF02208,WT1 antisense RNA conserved region 6,Gene; lncRNA;,52,143,6307,121.3,78,Rfam full
RF00825,microRNA mir-344,Gene; miRNA;,197,118,18371,93.3,63,Rfam full
RF02210,WT1 antisense RNA conserved region 8,Gene; lncRNA;,62,382,17052,275.0,80,Rfam full
RF02213,ZFAT antisense RNA 1 conserved region 3,Gene; lncRNA;,14,85,1128,80.6,88,Rfam full
RF02212,ZFAT antisense RNA 1 conserved region 2,Gene; lncRNA;,34,272,6775,199.3,71,Rfam full
RF02211,ZFAT antisense RNA 1 conserved region 1,Gene; lncRNA;,12,79,947,78.9,95,Rfam full
RF02216,ZNFX1 antisense RNA 1 conserved region 2,Gene; lncRNA;,75,114,6920,92.3,68,Rfam full
RF02215,ZNFX1 antisense RNA 1 conserved region 1,Gene; lncRNA;,47,230,8953,190.5,72,Rfam full
RF02217,ZNFX1 antisense RNA 1 conserved region 3,Gene; lncRNA;,12,89,1026,85.5,93,Rfam full
RF02218,ZNRD1 antisense RNA 1 conserved region 1,Gene; lncRNA;,44,68,2867,65.2,81,Rfam full
RF02214,microRNA mir-56,Gene; miRNA;,8,101,766,95.8,79,Rfam full
RF02219,ZNRD1 antisense RNA 1 conserved region 2,Gene; lncRNA;,125,87,9500,76.0,76,Rfam full
RF00827,microRNA mir-77,Gene; miRNA;,12,108,1202,100.2,69,Rfam full
RF02221,sRNA-Xcc1,Gene; sRNA;,411,158,35458,86.3,58,Rfam full
RF02682,HDV ribozyme from F. prausnitzii,Gene; ribozyme;,3044,109,215920,70.9,89,Rfam full
RF02778,FdoG-1 5' UTR thermometer,Cis-reg; thermoregulator;,18,424,3357,186.5,58,Rfam full
RF02220,ZNRD1 antisense RNA 1 conserved region 3,Gene; lncRNA;,24,104,2484,103.5,93,Rfam full
RF02222,Xanthomonas sRNA sX2,Gene; sRNA;,14,142,1485,106.1,80,Rfam full
RF02224,Xanthomonadaceae sRNA sX5,Gene; sRNA;,27,51,1315,48.7,85,Rfam full
RF02223,Proteobacterial sRNA sX4,Gene; sRNA;,34,298,5293,155.7,73,Rfam full
RF02226,Xanthomonas sRNA sX7,Gene; sRNA;,15,99,1425,95.0,75,Rfam full
RF02225,Proteobacterial sRNA sX6,Gene; sRNA;,27,684,8389,310.7,51,Rfam full
RF02227,Proteobacterial sRNA sX8,Gene; sRNA;,40,82,3275,81.9,81,Rfam full
RF00824,microRNA mir-50,Gene; miRNA;,46,152,4453,96.8,51,Rfam full
RF02228,Xanthomonas sRNA sX9,Gene; sRNA;,393,168,29670,75.5,74,Rfam full
RF02230,Proteobacterial sRNA sX11,Gene; sRNA;,23,179,3286,142.9,71,Rfam full
RF02231,Xanthomonas sRNA sX12,Gene; sRNA;,8,78,624,78.0,94,Rfam full
RF02232,Xanthomonadaceae sRNA sX13,Gene; sRNA;,58,136,6549,112.9,76,Rfam full
RF02233,Xanthomonas sRNA sX14/Xoo3,Gene; sRNA;,9,92,828,92.0,96,Rfam full
RF02234,Xanthomonadaceae sRNA sX15,Gene; sRNA;,38,201,5956,156.7,67,Rfam full
RF02235,Xanthomonadaceae sRNA asX1,Gene; sRNA;,61,151,6977,114.4,73,Rfam full
RF02236,Xanthomonas sRNA asX2,Gene; sRNA;,2,87,172,86.0,81,Rfam full
RF02237,Xanthomonas sRNA asX3,Gene; sRNA;,4,182,723,180.8,91,Rfam full
RF02238,Xanthomonas sRNA asX4/Xoo4,Gene; sRNA;,9,318,2803,311.4,84,Rfam full
RF00826,microRNA mir-55,Gene; miRNA;,9,83,673,74.8,77,Rfam full
RF02239,Xanthomonas sRNA asX6,Gene; sRNA;,3,94,278,92.7,94,Rfam full
RF02240,Xanthomonadaceae sRNA Xoo1,Gene; sRNA;,7,101,655,93.6,82,Rfam full
RF02241,Xanthomonadaceae sRNA Xoo2,Gene; sRNA;,10,91,761,76.1,82,Rfam full
RF02242,Xanthomonadaceae sRNA Xoo5,Gene; sRNA;,30,134,3625,120.8,75,Rfam full
RF02243,Proteobacterial sRNA Xoo8,Gene; sRNA;,11,580,3577,325.2,61,Rfam full
RF02244,microRNA mir-785,Gene; miRNA;,7,96,630,90.0,73,Rfam full
RF02246,Six3os1 conserved region 1,Gene; lncRNA;,43,136,3746,87.1,78,Rfam full
RF02245,microRNA mir-788,Gene; miRNA;,7,85,557,79.6,77,Rfam full
RF02247,Six3os1 conserved region 2,Gene; lncRNA;,50,260,10665,213.3,85,Rfam full
RF02248,Six3os1 conserved region 3,Gene; lncRNA;,46,77,3419,74.3,82,Rfam full
RF00828,microRNA mir-75,Gene; miRNA;,23,126,2276,99.0,51,Rfam full
RF02249,Six3os1 conserved region 4,Gene; lncRNA;,43,452,13400,311.6,84,Rfam full
RF02250,Six3os1 conserved region 5,Gene; lncRNA;,118,585,31601,267.8,74,Rfam full
RF02251,Six3os1 conserved region 6,Gene; lncRNA;,19,225,3684,193.9,77,Rfam full
RF02252,Six3os1 conserved region 7,Gene; lncRNA;,115,507,22320,194.1,83,Rfam full
RF02255,Adaptive response 33 conserved region 1,Gene; lncRNA;,10,77,737,73.7,82,Rfam full
RF02256,Adaptive response 33 conserved region 2,Gene; lncRNA;,6,71,417,69.5,87,Rfam full
RF02258,Adaptive response 33 conserved region 4,Gene; lncRNA;,7,183,1206,172.3,77,Rfam full
RF02257,Adaptive response 33 conserved region 3,Gene; lncRNA;,9,153,1254,139.3,71,Rfam full
RF02306,Tetrahymena snoRNA TtnuCD32,Gene; snRNA; snoRNA; CD-box;,4,98,392,98.0,95,Rfam full
RF02308,Tetrahymena snoRNA TtnuCD34,Gene; snRNA; snoRNA; CD-box;,3,64,192,64.0,96,Rfam full
RF00829,microRNA mir-149,Gene; miRNA;,48,86,4067,84.7,94,Rfam full
RF02309,Tetrahymena snoRNA TtnuHACA1,Gene; snRNA; snoRNA; HACA-box;,3,113,339,113.0,98,Rfam full
RF02310,Tetrahymena snoRNA TtnuHACA2,Gene; snRNA; snoRNA; HACA-box;,4,121,480,120.0,94,Rfam full
RF02311,Tetrahymena snoRNA TtnuHACA3,Gene; snRNA; snoRNA; HACA-box;,4,152,608,152.0,94,Rfam full
RF02312,Tetrahymena snoRNA TtnuHACA5,Gene; snRNA; snoRNA; HACA-box;,3,132,395,131.7,97,Rfam full
RF02313,Tetrahymena snoRNA TtnuHACA6,Gene; snRNA; snoRNA; HACA-box;,3,131,391,130.3,93,Rfam full
RF02314,Tetrahymena snoRNA TtnuHACA7,Gene; snRNA; snoRNA; HACA-box;,4,130,506,126.5,84,Rfam full
RF02315,Tetrahymena snoRNA TtnuHACA8,Gene; snRNA; snoRNA; HACA-box;,5,176,651,130.2,76,Rfam full
RF02316,Tetrahymena snoRNA TtnuHACA9,Gene; snRNA; snoRNA; HACA-box;,5,141,678,135.6,82,Rfam full
RF02318,Tetrahymena snoRNA TtnuHACA11a,Gene; snRNA; snoRNA; HACA-box;,3,141,423,141.0,96,Rfam full
RF02317,Tetrahymena snoRNA TtnuHACA10,Gene; snRNA; snoRNA; HACA-box;,4,104,416,104.0,89,Rfam full
RF00830,microRNA mir-74,Gene; miRNA;,17,126,1662,97.8,62,Rfam full
RF02319,Tetrahymena snoRNA TtnuHACA12,Gene; snRNA; snoRNA; HACA-box;,3,131,356,118.7,89,Rfam full
RF02320,Tetrahymena snoRNA TtnuHACA13,Gene; snRNA; snoRNA; HACA-box;,3,134,402,134.0,95,Rfam full
RF02321,Tetrahymena snoRNA TtnuHACA14,Gene; snRNA; snoRNA; HACA-box;,4,134,533,133.2,94,Rfam full
RF02322,Tetrahymena snoRNA TtnuHACA15,Gene; snRNA; snoRNA; HACA-box;,3,117,351,117.0,98,Rfam full
RF02323,Tetrahymena snoRNA TtnuHACA16,Gene; snRNA; snoRNA; HACA-box;,3,117,351,117.0,97,Rfam full
RF02324,Tetrahymena snoRNA TtnuHACA17,Gene; snRNA; snoRNA; HACA-box;,4,118,469,117.2,89,Rfam full
RF02325,Tetrahymena snoRNA TtnuHACA18,Gene; snRNA; snoRNA; HACA-box;,4,130,519,129.8,89,Rfam full
RF02326,Tetrahymena snoRNA TtnuHACA19,Gene; snRNA; snoRNA; HACA-box;,3,121,363,121.0,97,Rfam full
RF02328,Tetrahymena snoRNA TtnuHACA21,Gene; snRNA; snoRNA; HACA-box;,3,130,390,130.0,97,Rfam full
RF02327,Tetrahymena snoRNA TtnuHACA20,Gene; snRNA; snoRNA; HACA-box;,3,123,369,123.0,96,Rfam full
RF00831,microRNA mir-73,Gene; miRNA;,12,127,1214,101.2,69,Rfam full
RF00418,Small nucleolar RNA SNORA58,Gene; snRNA; snoRNA; HACA-box;,144,192,19509,135.5,73,Rfam full
RF02330,Tetrahymena snoRNA TtnuHACA23,Gene; snRNA; snoRNA; HACA-box;,4,135,532,133.0,82,Rfam full
RF02329,Tetrahymena snoRNA TtnuHACA22,Gene; snRNA; snoRNA; HACA-box;,3,103,305,101.7,96,Rfam full
RF02332,Tetrahymena snoRNA TtnuHACA25,Gene; snRNA; snoRNA; HACA-box;,3,111,333,111.0,98,Rfam full
RF02331,Tetrahymena snoRNA TtnuHACA24,Gene; snRNA; snoRNA; HACA-box;,3,127,381,127.0,95,Rfam full
RF02333,Tetrahymena snoRNA TtnuHACA27,Gene; snRNA; snoRNA; HACA-box;,3,86,257,85.7,97,Rfam full
RF02334,Tetrahymena snoRNA TtnuHACA28,Gene; snRNA; snoRNA; HACA-box;,3,134,402,134.0,97,Rfam full
RF02335,Giardia snoRNA GlsR2,Gene; snRNA; snoRNA;,5,106,525,105.0,99,Rfam full
RF02336,Giardia snoRNA GlsR1,Gene; snRNA; snoRNA;,4,85,340,85.0,92,Rfam full
RF02338,Giardia snoRNA GlsR16,Gene; snRNA; snoRNA;,5,77,385,77.0,94,Rfam full
RF02337,Giardia snoRNA GlsR8,Gene; snRNA; snoRNA;,5,70,350,70.0,98,Rfam full
RF00833,microRNA mir-70,Gene; miRNA;,7,122,831,118.7,63,Rfam full
RF02340,Dengue virus SLA,Cis-reg;,94,81,6645,70.7,66,Rfam full
RF02339,Giardia snoRNA GlsR17,Gene; snRNA; snoRNA;,6,63,376,62.7,92,Rfam full
RF02342,Alphaproteobacterial sRNA ar7,Gene; sRNA;,123,216,17813,144.8,64,Rfam full
RF02341,Mycobacterium sRNA ncrMT1302,Gene; sRNA;,64,131,6563,102.5,72,Rfam full
RF02344,Alphaproteobacterial ar14,Gene; sRNA;,616,340,75132,122.0,57,Rfam full
RF02343,Alphaproteobacterial sRNA ar9,Gene; sRNA;,141,322,21184,150.2,69,Rfam full
RF02345,Alphaproteobacterial ar15,Gene; sRNA;,302,213,33258,110.1,66,Rfam full
RF02346,Alphaproteobacterial sRNA ar35,Gene; sRNA;,190,266,24297,127.9,56,Rfam full
RF02348,Trans-activating crRNA,Gene;,77,123,7089,92.1,78,Rfam full
RF02347,Alphaproteobacterial sRNA ar45,Gene; sRNA;,233,666,38488,165.2,63,Rfam full
RF00834,microRNA mir-268,Gene; miRNA;,9,97,821,91.2,80,Rfam full
RF02349,Proteobacterial sRNA psRNA2,Gene; sRNA;,78,427,15375,197.1,64,Rfam full
RF02350,Nitrosomonas sRNA psRNA6,Gene; sRNA;,5,441,1484,296.8,55,Rfam full
RF02353,Bradyrhizobiaceae sRNA BjrC68,Gene; sRNA;,48,121,3870,80.6,72,Rfam full
RF02351,Proteobacteria sRNA psRNA14,Gene; sRNA;,3,84,243,81.0,58,Rfam full
RF02354,Bradyrhizobiaceae sRNA BjrC80,Gene; sRNA;,40,265,6395,159.9,72,Rfam full
RF02355,Bradyrhizobiaceae sRNA BjrC174,Gene; sRNA;,72,396,14350,199.3,61,Rfam full
RF02357,RNaseP truncated form,Gene; ribozyme;,18,232,3662,203.4,67,Rfam full
RF02356,Alphaproteobacterial sRNA BjrC1505,Gene; sRNA;,189,266,26638,140.9,64,Rfam full
RF02359,Bacteriophage MS2 operator hairpin,Cis-reg;,6,36,216,36.0,90,Rfam full
RF02364,Cyanobacterial functional RNA 13,Gene; sRNA;,8,102,766,95.8,83,Rfam full
RF00832,microRNA mir-71,Gene; miRNA;,185,166,14049,75.9,64,Rfam full
RF02363,Cyanobacterial functional RNA 11,Gene; sRNA;,5,156,708,141.6,68,Rfam full
RF02362,Cyanobacterial functional RNA 10,Gene; sRNA;,8,82,630,78.8,72,Rfam full
RF02365,Cyanobacterial functional RNA 17,Gene; sRNA;,4,323,1082,270.5,63,Rfam full
RF02366,Cyanobacterial functional RNA 19,Gene; sRNA;,6,87,496,82.7,86,Rfam full
RF02367,Cyanobacterial functional RNA 20,Gene; sRNA;,7,97,621,88.7,80,Rfam full
RF02368,Cyanobacterial functional RNA 21,Gene; sRNA;,2,205,409,204.5,89,Rfam full
RF02370,Bacillus tryptophan operon leader,Cis-reg; leader;,16,170,2391,149.4,76,Rfam full
RF02369,h2cR sRNA,Gene; sRNA;,11,141,1503,136.6,88,Rfam full
RF02372,PyrC leader,Cis-reg; leader;,18,56,927,51.5,84,Rfam full
RF02371,PyrG leader,Cis-reg; leader;,24,91,1909,79.5,73,Rfam full
RF00835,microRNA mir-58,Gene; miRNA;,12,86,932,77.7,93,Rfam full
RF02373,PyrD leader,Cis-reg; leader;,78,157,5877,75.3,79,Rfam full
RF02374,Yersinia YenS sRNA,Gene; sRNA;,8,177,1342,167.8,80,Rfam full
RF02376,SR1 sRNA,Gene; sRNA;,115,495,23809,207.0,53,Rfam full
RF02375,Aar sRNA,Gene; sRNA;,41,252,7677,187.2,66,Rfam full
RF02377,SurA sRNA,Gene; sRNA;,8,418,2260,282.5,73,Rfam full
RF02378,SurC sRNA,Gene; sRNA;,8,178,1264,158.0,82,Rfam full
RF02385,Staphylococcus sRNA sau-13,Gene; sRNA;,20,105,2080,104.0,75,Rfam full
RF02379,Cia-dependent small RNA csRNA1,Gene; sRNA;,118,227,11329,96.0,77,Rfam full
RF02384,FasX small RNA,Gene; sRNA;,16,228,3275,204.7,76,Rfam full
RF02387,Staphylococcus sRNA sau-27,Gene; sRNA;,4,94,368,92.0,91,Rfam full
RF00836,microRNA mir-250,Gene; miRNA;,19,81,1492,78.5,72,Rfam full
RF02386,Staphylococcus sRNA sau-19,Gene; sRNA;,5,75,375,75.0,93,Rfam full
RF02389,Staphylococcus sRNA sau-31,Gene; sRNA;,4,66,264,66.0,96,Rfam full
RF02388,Staphylococcus sRNA sau-30,Gene; sRNA;,3,64,192,64.0,90,Rfam full
RF02390,Staphylococcus sRNA sau-41,Gene; sRNA;,3,156,468,156.0,96,Rfam full
RF02392,Staphylococcus sRNA sau-53,Gene; sRNA;,5,192,960,192.0,91,Rfam full
RF02393,Staphylococcus sRNA sau-59,Gene; sRNA;,10,128,1279,127.9,84,Rfam full
RF02394,Staphylococcus sRNA sau-63,Gene; sRNA;,4,98,392,98.0,99,Rfam full
RF02395,Staphylococcus sRNA sau-66,Gene; sRNA;,5,80,400,80.0,98,Rfam full
RF02396,Staphylococcus sRNA sau-5949,Gene; sRNA;,63,60,3664,58.2,84,Rfam full
RF02397,Staphylococcus sRNA sau-5971,Gene; sRNA;,4,98,386,96.5,99,Rfam full
RF00837,microRNA mir-251,Gene; miRNA;,11,63,676,61.5,81,Rfam full
RF02398,Staphylococcus sRNA sau-6072,Gene; sRNA;,3,53,159,53.0,95,Rfam full
RF02399,Nitrogen stress-induced RNA 1,Gene; sRNA;,500,131,29252,58.5,68,Rfam full
RF02400,Heat shock protein 83 3' UTR,Cis-reg;,27,583,13135,486.5,90,Rfam full
RF02402,A. fumigatus snoRNA Afu_263,Gene; snRNA; snoRNA; CD-box;,109,117,10245,94.0,76,Rfam full
RF02401,ClpQY promoter,Cis-reg;,94,112,5533,58.9,67,Rfam full
RF02404,Pseudomonas sRNA P33,Gene; sRNA;,4,160,565,141.2,80,Rfam full
RF02403,A. fumigatus snoRNA Afu_328,Gene; snRNA; snoRNA; CD-box;,18,88,1349,74.9,85,Rfam full
RF02405,Pseudomonas sRNA P34,Gene; sRNA;,62,1044,22485,362.7,51,Rfam full
RF02406,Small nucleolar RNA snoR120,Gene; snRNA; snoRNA; CD-box;,24,99,1943,81.0,85,Rfam full
RF02408,Small nucleolar RNA snoR124,Gene; snRNA; snoRNA; CD-box;,20,81,1518,75.9,92,Rfam full
RF00838,microRNA mir-252,Gene; miRNA;,242,153,18660,77.1,61,Rfam full
RF02428,Streptococcus sRNA SpF11,Gene; sRNA;,7,95,640,91.4,91,Rfam full
RF02431,Streptococcus sRNA SpF22,Gene; sRNA;,29,177,4101,141.4,73,Rfam full
RF02430,Streptococcus sRNA SpF19,Gene; sRNA;,7,101,693,99.0,84,Rfam full
RF02432,Streptococcus sRNA SpF25,Gene; sRNA;,33,129,3377,102.3,84,Rfam full
RF02433,Streptococcus sRNA SpF36,Gene; sRNA;,9,54,460,51.1,88,Rfam full
RF02434,Streptococcus sRNA SpF39,Gene; sRNA;,23,132,2476,107.7,84,Rfam full
RF02435,Streptococcus sRNA SpF41,Gene; sRNA;,16,136,1713,107.1,62,Rfam full
RF02436,Streptococcus sRNA SpF43,Gene; sRNA;,16,105,1581,98.8,91,Rfam full
RF02437,Streptococcus sRNA SpF44,Gene; sRNA;,19,107,1882,99.1,85,Rfam full
RF02439,Streptococcus sRNA SpF56,Gene; sRNA;,3,99,296,98.7,97,Rfam full
RF00839,microRNA mir-452,Gene; miRNA;,46,85,3889,84.5,95,Rfam full
RF02438,Streptococcus sRNA SpF51,Gene; sRNA;,14,48,626,44.7,89,Rfam full
RF02440,Streptococcus sRNA SpF59 (ldcC RNA),Gene; sRNA;,550,149,30762,55.9,71,Rfam full
RF02441,Streptococcus sRNA SpF61,Gene; sRNA;,7,58,406,58.0,93,Rfam full
RF02442,Streptococcus sRNA SpF66,Gene; sRNA;,54,410,11849,219.4,51,Rfam full
RF02443,Streptococcus sRNA SpR08,Gene; sRNA;,5,73,365,73.0,98,Rfam full
RF02444,Streptococcus sRNA SpR10,Gene; sRNA;,9,47,420,46.7,95,Rfam full
RF02446,Streptococcus sRNA SpR18,Gene; sRNA;,90,244,11722,130.2,74,Rfam full
RF02445,Streptococcus sRNA SpR14,Gene; sRNA;,8,84,627,78.4,90,Rfam full
RF02447,Streptococcus sRNA SpR19,Gene; sRNA;,43,195,5534,128.7,72,Rfam full
RF02448,Streptococcus sRNA SpR20,Gene; sRNA;,10,45,450,45.0,92,Rfam full
RF00840,microRNA mir-374,Gene; miRNA;,69,75,4892,70.9,84,Rfam full
RF02449,Bacillus sRNA ncr1015,Gene; sRNA;,58,134,6865,118.4,70,Rfam full
RF02450,Bacillus sRNA ncr1175,Gene; sRNA;,7,131,766,109.4,79,Rfam full
RF02451,Bacillus sRNA ncr1241,Gene; sRNA;,22,72,1393,63.3,74,Rfam full
RF02452,Bacillus sRNA ncr1575,Gene; sRNA;,107,465,22701,212.2,63,Rfam full
RF02453,Bacillus sRNA ncr952,Gene; sRNA;,6,149,858,143.0,83,Rfam full
RF02454,Bacillus sRNA ncr982,Gene; sRNA;,11,81,856,77.8,79,Rfam full
RF02455,Dianthovirus RNA2 cap-independent translation element,Cis-reg;,2,93,186,93.0,81,Rfam full
RF02456,Dianthovirus RNA2 3'UTR stem loops,Cis-reg;,2,205,404,202.0,81,Rfam full
RF02457,Tombusvirus 3' cap-independent translation element,Cis-reg;,10,171,1662,166.2,73,Rfam full
RF02458,Aureusvirus cap-independent translation element,Cis-reg;,4,122,479,119.8,71,Rfam full
RF00841,microRNA mir-384,Gene; miRNA;,91,109,8433,92.7,74,Rfam full
RF00416,Small nucleolar RNA SNORA43,Gene; snRNA; snoRNA; HACA-box;,141,214,19017,134.9,75,Rfam full
RF02459,Necrovirus cap-independent translation element,Cis-reg;,11,89,897,81.5,69,Rfam full
RF02460,Satellite tobacco necrosis virus cap-independent translation element,Cis-reg;,2,94,186,93.0,84,Rfam full
RF02461,Blackcurrant reversion virus cap-independent translation element,Cis-reg;,3,115,333,111.0,91,Rfam full
RF02463,Mycobacterium sRNA Ms_AS-1,Gene; sRNA;,105,131,10272,97.8,74,Rfam full
RF02464,Actinobacteria sRNA Ms_AS-4,Gene; sRNA;,96,88,7869,82.0,79,Rfam full
RF02465,Mycobacterium sRNA Ms_AS-5,Gene; sRNA;,78,45,3510,45.0,85,Rfam full
RF02466,Actinobacteria sRNA Ms_AS-8,Gene; sRNA;,98,103,6997,71.4,80,Rfam full
RF02467,Mycobacterium sRNA Ms_IGR-2,Gene; sRNA;,34,93,2727,80.2,77,Rfam full
RF02468,Mycobacterium sRNA Ms_IGR-4,Gene; sRNA;,7,38,266,38.0,95,Rfam full
RF02469,Actinobacteria sRNA Ms_IGR-7,Gene; sRNA;,245,190,28117,114.8,56,Rfam full
RF00842,microRNA MIR403,Gene; miRNA;,69,200,7480,108.4,64,Rfam full
RF02470,Mycobacterium sRNA Ms_IGR-8,Gene; sRNA;,41,95,2554,62.3,63,Rfam full
RF02471,Actinobacteria sRNA Ms_IGR-5,Gene; sRNA;,556,516,115026,206.9,56,Rfam full
RF02474,Small nucleolar RNA GlsR5,Gene; snRNA; snoRNA; CD-box;,4,89,354,88.5,97,Rfam full
RF02475,Small nucleolar RNA GlsR6,Gene; snRNA; snoRNA; CD-box;,5,59,295,59.0,93,Rfam full
RF02476,Small nucleolar RNA GlsR7,Gene; snRNA; snoRNA; CD-box;,5,60,296,59.2,90,Rfam full
RF02477,Small nucleolar RNA GlsR9,Gene; snRNA; snoRNA; CD-box;,4,79,312,78.0,94,Rfam full
RF02479,Small nucleolar RNA GlsR13,Gene; snRNA; snoRNA; CD-box;,5,100,500,100.0,94,Rfam full
RF02478,Small nucleolar RNA GlsR10,Gene; snRNA; snoRNA; CD-box;,4,68,272,68.0,94,Rfam full
RF02480,Small nucleolar RNA GlsR14,Gene; snRNA; snoRNA; CD-box;,4,69,273,68.2,94,Rfam full
RF02481,Small nucleolar RNA GlsR18,Gene; snRNA; snoRNA; HACA-box;,5,150,734,146.8,87,Rfam full
RF00843,microRNA mir-228,Gene; miRNA;,28,116,2332,83.3,72,Rfam full
RF02484,Small nucleolar RNA GlsR21,Gene; snRNA; snoRNA; HACA-box;,5,113,559,111.8,90,Rfam full
RF02482,Small nucleolar RNA GlsR19,Gene; snRNA; snoRNA; HACA-box;,5,150,749,149.8,86,Rfam full
RF02483,Small nucleolar RNA GlsR20,Gene; snRNA; snoRNA; HACA-box;,5,108,536,107.2,89,Rfam full
RF02485,Small nucleolar RNA GlsR22,Gene; snRNA; snoRNA; HACA-box;,5,151,750,150.0,88,Rfam full
RF02486,Small nucleolar RNA GlsR23,Gene; snRNA; snoRNA; HACA-box;,4,151,595,148.8,81,Rfam full
RF02487,Small nucleolar RNA GlsR24,Gene; snRNA; snoRNA; HACA-box;,6,159,896,149.3,87,Rfam full
RF02488,Small nucleolar RNA GlsR25,Gene; snRNA; snoRNA; HACA-box;,5,147,731,146.2,88,Rfam full
RF02489,Small nucleolar RNA GlsR26,Gene; snRNA; snoRNA; HACA-box;,5,114,568,113.6,86,Rfam full
RF02490,Small nucleolar RNA GlsR27,Gene; snRNA; snoRNA; HACA-box;,4,113,451,112.8,94,Rfam full
RF02491,Giardia U1 spliceosomal RNA,Gene; snRNA; splicing;,4,121,482,120.5,93,Rfam full
RF00844,microRNA mir-67,Gene; miRNA;,135,119,11189,82.9,70,Rfam full
RF02492,Giardia U2 spliceosomal RNA,Gene; snRNA; splicing;,4,136,544,136.0,97,Rfam full
RF02493,Giardia U4 spliceosomal RNA,Gene; snRNA; splicing;,4,95,380,95.0,95,Rfam full
RF02494,Giardia U6 spliceosomal RNA,Gene; snRNA; splicing;,4,102,408,102.0,98,Rfam full
RF02495,Oppression of Hydrophobic ORF by sRNA,Gene; antitoxin;,37,100,2835,76.6,89,Rfam full
