rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
PF16834.8,"Shu complex component Csm2, DNA-binding",Domain,28,338,5223,186.5,29,Pfam full
PF03750.16,Csm2 Type III-A,Family,298,259,34824,116.9,22,Pfam full
PF17953.4,CRISPR Csm4 C-terminal domain,Domain,176,231,16160,91.8,28,Pfam full
PF18420.4,CSN4/RPN5/eIF3a helix turn helix domain,Domain,495,57,20486,41.4,73,Pfam full
PF18323.4,Cop9 signalosome subunit 5 C-terminal domain,Domain,1540,339,124619,80.9,43,Pfam full
PF18392.4,COP9 signalosome complex subunit 7a helix I domain,Domain,849,94,42183,49.7,56,Pfam full
PF10075.12,CSN8/PSMD8/EIF3K family,Family,4656,850,639489,137.3,21,Pfam full
PF12288.11,Carboxysome shell peptide mid-region,Family,181,864,50885,281.1,30,Pfam full
PF08936.13,Carboxysome Shell Carbonic Anhydrase,Domain,142,677,53858,379.3,37,Pfam full
PF18425.4,Csp protease B prodomain,Domain,273,134,23178,84.9,34,Pfam full
PF02599.19,Global regulator protein family,Family,3630,136,191225,52.7,46,Pfam full
PF16019.8,Cysteine/serine-rich nuclear protein N-terminus,Family,1436,664,279385,194.6,53,Pfam full
PF12792.10,CSS motif domain associated with EAL,Domain,751,517,142485,189.7,14,Pfam full
PF06002.15,"Alpha-2,3-sialyltransferase (CST-I)",Family,29,481,7024,242.2,34,Pfam full
PF02554.17,Carbon starvation protein CstA,Family,5062,1133,1434135,283.3,32,Pfam full
PF13722.9,5TM C-terminal transporter carbon starvation CstA,Domain,3981,328,488240,122.6,32,Pfam full
PF16699.8,"Cleavage stimulation factor subunit 1, dimerisation domain",Domain,559,107,31268,55.9,52,Pfam full
PF14327.9,Hinge domain of cleavage stimulation factor subunit 2,Family,2470,208,190487,77.1,37,Pfam full
PF14304.9,Transcription termination and cleavage factor C-terminal,Domain,2131,70,84276,39.5,45,Pfam full
PF15623.9,Cancer/testis gene family 47,Family,117,591,24297,207.7,37,Pfam full
PF04442.17,Cytochrome c oxidase assembly protein CtaG/Cox11,Family,3801,442,552074,145.2,43,Pfam full
PF15489.9,"CST, telomere maintenance, complex subunit CTC1",Family,569,3067,360277,633.2,30,Pfam full
PF15491.9,"CST, telomere maintenance, complex subunit CTC1",Family,261,643,70563,270.4,42,Pfam full
PF12815.10,Spt5 C-terminal nonapeptide repeat binding Spt4,Repeat,1042,427,86731,83.2,37,Pfam full
PF20276.1,C-terminal domain 1 of the ABC-three component (ABC-3C) systems,Domain,51,414,12503,245.2,17,Pfam full
PF20275.1,C-terminal domain 10 of the ABC-three component (ABC-3C) systems,Domain,239,264,30653,128.3,18,Pfam full
PF20277.1,C-terminal domain 11 of the ABC-three component (ABC-3C) systems,Domain,80,181,10808,135.1,26,Pfam full
PF20279.1,C-terminal domain 12 of the ABC-three component (ABC-3C) systems,Domain,61,215,8440,138.4,36,Pfam full
PF20278.1,C-terminal domain 2 of the ABC-three component (ABC-3C) systems,Domain,23,400,7541,327.9,21,Pfam full
PF20395.1,C-terminal domain 3 of the ABC-three component (ABC-3C) systems,Domain,1,163,162,162.0,100,Pfam full
PF20280.1,C-terminal domain 4 of the ABC-three component (ABC-3C) systems,Domain,27,293,5869,217.4,20,Pfam full
PF20281.1,C-terminal domain 5 of the ABC-three component (ABC-3C) systems,Domain,7,228,1313,187.6,28,Pfam full
PF20282.1,C-terminal domain 6 of the ABC-three component (ABC-3C) systems,Domain,185,197,23964,129.5,31,Pfam full
PF20283.1,C-terminal domain 7 of the ABC-three component (ABC-3C) systems,Domain,194,227,24319,125.4,29,Pfam full
PF20284.1,C-terminal domain 8 of the ABC-three component (ABC-3C) systems,Domain,13,150,1620,124.6,35,Pfam full
PF20285.1,C-terminal domain 9 of the ABC-three component (ABC-3C) systems,Domain,73,128,8274,113.3,31,Pfam full
PF09696.13,Ctf8,Family,1332,492,136878,102.8,29,Pfam full
PF00859.21,CTF/NF-I family transcription modulation region,Family,4208,919,960567,228.3,49,Pfam full
PF14262.9,Carbohydrate-binding domain-containing protein Cthe_2159,Repeat,1502,1253,326201,217.2,24,Pfam full
PF06934.14,Fatty acid cis/trans isomerase (CTI),Family,319,1131,203218,637.0,39,Pfam full
PF10482.12,Tumour-suppressor protein CtIP N-terminal domain,Coiled-coil,629,239,69205,110.0,61,Pfam full
PF12243.11,CTD kinase subunit gamma CTK3,Repeat,748,373,91331,122.1,44,Pfam full
PF12350.11,CTD kinase subunit gamma CTK3 C-terminus,Domain,739,313,53590,72.5,43,Pfam full
PF10607.12,CTLH/CRA C-terminal to LisH motif domain,Domain,8523,1583,1477452,173.3,23,Pfam full
PF07863.14,Homologues of TraJ from Bacteroides conjugative transposon,Family,491,166,31028,63.2,42,Pfam full
PF08347.14,N-terminal CTNNB1 binding,Family,3887,793,745799,191.9,53,Pfam full
PF08216.14,"Catenin-beta-like, Arm-motif containing nuclear",Repeat,2019,1618,815178,403.8,39,Pfam full
PF01982.19,Domain of unknown function DUF120,Family,311,269,37920,121.9,39,Pfam full
PF06418.17,CTP synthase N-terminus,Domain,11706,1101,2953693,252.3,55,Pfam full
PF01148.23,Cytidylyltransferase family,Family,12518,1707,3363004,268.7,24,Pfam full
PF02348.22,Cytidylyltransferase,Family,8989,1304,1909702,212.4,23,Pfam full
PF01467.29,Cytidylyltransferase-like,Domain,34489,1308,4956823,143.7,19,Pfam full
PF04145.18,Ctr copper transporter family,Family,6336,1049,724048,114.3,22,Pfam full
PF05848.14,CtsR N-terminal HTH domain,Domain,1129,90,80445,71.3,60,Pfam full
PF17727.4,CtsR C-terminal dimerization domain,Domain,1076,126,77260,71.8,29,Pfam full
PF18244.4,Cellulose-binding protein CttA N-terminal domain,Domain,10,110,662,66.2,30,Pfam full
PF10288.12,Cytoplasmic tRNA 2-thiolation protein 2,Family,1358,569,140417,103.4,26,Pfam full
PF06922.14,Citrus tristeza virus P13 protein,Family,1,119,119,119.0,100,Pfam full
PF04808.15,Citrus tristeza virus (CTV) P23 protein,Family,2,236,310,155.0,22,Pfam full
PF07184.14,Citrus tristeza virus P33 protein,Family,1,303,302,302.0,100,Pfam full
PF06706.14,Citrus tristeza virus 6-kDa protein,Family,1,51,51,51.0,100,Pfam full
PF16710.8,N-terminal N1 domain of Vibrio phage CTXphi pIII,Domain,3,111,333,111.0,99,Pfam full
PF07459.14,CTX phage RstB protein,Family,35,134,3102,88.6,26,Pfam full
PF02626.18,"Carboxyltransferase domain, subdomain A and B",Family,6055,1018,1580739,261.1,34,Pfam full
PF02682.19,"Carboxyltransferase domain, subdomain C and D",Family,5944,780,1224162,205.9,29,Pfam full
PF11617.11,Putative metal-binding motif,Repeat,2396,125,58953,24.6,40,Pfam full
PF00394.25,Multicopper oxidase,Domain,22029,1116,3308634,150.2,21,Pfam full
PF07731.17,Multicopper oxidase,Domain,28607,909,3790533,132.5,21,Pfam full
PF07732.18,Multicopper oxidase,Domain,31736,1173,3559671,112.2,27,Pfam full
PF02578.18,Multi-copper polyphenol oxidoreductase laccase,Family,6621,1155,1496621,226.0,31,Pfam full
PF01082.23,"Copper type II ascorbate-dependent monooxygenase, N-terminal domain",Domain,2870,466,343932,119.8,32,Pfam full
PF03712.18,"Copper type II ascorbate-dependent monooxygenase, C-terminal domain",Domain,3275,749,464759,141.9,30,Pfam full
PF00431.23,CUB domain,Domain,79550,1179,8562706,107.6,27,Pfam full
PF02408.23,CUB-like domain,Domain,418,347,47470,113.6,19,Pfam full
PF18631.4,Cucumopine synthase C-terminal helical bundle domain,Domain,154,235,21717,141.0,27,Pfam full
PF03263.16,Cucumovirus protein 2B,Family,5,154,506,101.2,41,Pfam full
PF00760.21,Cucumovirus coat protein,Domain,248,403,23876,96.3,27,Pfam full
PF02845.19,CUE domain,Domain,8792,90,360597,41.0,24,Pfam full
PF18499.4,Ubc7p-binding region of Cue1,Domain,27,61,1403,52.0,48,Pfam full
PF11515.11,Mouse development and cellular proliferation protein Cullin-7,Family,1160,154,87529,75.5,56,Pfam full
PF00888.25,Cullin family,Repeat,14015,4418,6559446,468.0,23,Pfam full
PF03556.18,Cullin binding,Family,4835,605,534124,110.5,38,Pfam full
PF10557.12,Cullin protein neddylation domain,Domain,8952,222,556196,62.1,48,Pfam full
PF11819.11,Cytohesin Ubiquitin Protein Inducing Domain,Domain,2368,351,305405,129.0,48,Pfam full
PF00190.25,Cupin,Domain,22409,841,2943406,131.3,20,Pfam full
PF05899.15,EutQ-like cupin domain,Domain,6668,344,486448,73.0,20,Pfam full
PF06172.14,Cupin superfamily (DUF985),Domain,3293,656,455901,138.4,37,Pfam full
PF12852.10,Cupin,Domain,4308,749,762410,177.0,22,Pfam full
PF12973.10,ChrR Cupin-like domain,Domain,3873,392,346806,89.5,24,Pfam full
PF13621.9,Cupin-like domain,Domain,10916,3185,2597186,237.9,19,Pfam full
PF13473.9,Cupredoxin-like domain,Domain,4480,552,488156,109.0,18,Pfam full
PF07012.15,Curlin associated repeat,Repeat,2579,149,87263,33.8,33,Pfam full
PF07325.14,Curtovirus V2 protein,Family,8,135,972,121.5,60,Pfam full
PF07436.14,Curtovirus V3 protein,Family,8,91,692,86.5,62,Pfam full
PF00529.23,Cation efflux system protein CusB domain 1,Family,4891,1762,1577371,322.5,13,Pfam full
PF11604.11,Copper binding periplasmic protein CusF,Family,2096,166,138807,66.2,30,Pfam full
PF02376.18,CUT domain,Domain,6674,226,519460,77.8,40,Pfam full
PF11500.11,Cut12 conserved domain,Domain,405,463,59335,146.5,33,Pfam full
PF08559.13,"Cut8, nuclear proteasome tether protein",Family,909,870,210867,232.0,27,Pfam full
PF03091.18,CutA1 divalent ion tolerance protein,Domain,3845,325,367282,95.5,35,Pfam full
PF03932.17,CutC family,Domain,3971,1307,773462,194.8,35,Pfam full
PF08140.14,Crustacean cuticle protein repeat,Family,35,46,1411,40.3,44,Pfam full
PF11018.11,Pupal cuticle protein C1,Family,325,497,37534,115.5,28,Pfam full
PF15955.8,Cuticle protein,Family,213,280,18016,84.6,41,Pfam full
PF01083.25,Cutinase,Domain,4845,1070,888674,183.4,25,Pfam full
PF16557.8,CUT1-like DNA-binding domain of SATB,Domain,1020,157,71495,70.1,85,Pfam full
PF01179.23,"Copper amine oxidase, enzyme domain",Domain,7217,1729,2565632,355.5,32,Pfam full
PF07833.14,Copper amine oxidase N-terminal domain,Domain,9999,759,862250,86.2,20,Pfam full
PF02727.19,"Copper amine oxidase, N2 domain",Domain,4508,401,397627,88.2,25,Pfam full
PF02728.19,"Copper amine oxidase, N3 domain",Domain,4355,343,434968,99.9,22,Pfam full
PF18252.4,Copper(I)-binding protein CorA,Domain,11,225,1833,166.6,39,Pfam full
PF02298.20,Plastocyanin-like domain,Domain,9940,486,820864,82.6,31,Pfam full
PF17783.4,CvfB-like winged helix domain,Domain,2541,84,147143,57.9,41,Pfam full
PF08881.13,CVNH domain,Domain,1946,521,200614,103.1,24,Pfam full
PF12542.11,Pre-mRNA splicing factor,Family,1543,417,143555,93.0,33,Pfam full
PF08315.15,cwf18 pre-mRNA splicing factor,Family,1586,587,207730,131.0,35,Pfam full
PF08312.15,cwf21 domain,Domain,3210,255,150339,46.8,39,Pfam full
PF04677.18,Protein similar to CwfJ C-terminus 1,Family,3442,645,427783,124.3,30,Pfam full
PF04676.17,Protein similar to CwfJ C-terminus 2,Family,3169,459,310403,97.9,27,Pfam full
PF04889.15,Cwf15/Cwc15 cell cycle control protein,Family,1901,893,387459,203.8,41,Pfam full
PF10814.11,Cell wall synthesis protein CwsA,Family,70,208,8595,122.8,54,Pfam full
PF08230.14,CW_7 repeat,Domain,554,80,21364,38.6,49,Pfam full
PF04122.15,ell wall binding domain 2 (CWB2),Domain,6468,515,582145,90.0,28,Pfam full
PF01705.22,CX module,Family,340,156,19099,56.2,29,Pfam full
PF16860.8,"CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,",Domain,711,70,31027,43.6,32,Pfam full
PF18802.4,CxC1 like cysteine cluster associated with KDZ transposases,Domain,870,353,81049,93.2,26,Pfam full
PF18803.4,CxC2 like cysteine cluster associated with KDZ transposases,Domain,2298,362,224995,97.9,32,Pfam full
PF18804.4,CxC3 like cysteine cluster associated with KDZ transposases,Domain,243,226,24648,101.4,28,Pfam full
PF18717.4,CxC4 like cysteine cluster associated with KDZ transposases,Domain,724,294,92211,127.4,32,Pfam full
PF18718.4,CxC5 like cysteine cluster associated with KDZ transposases,Domain,599,355,66464,111.0,23,Pfam full
PF18721.4,CxC6 like cysteine cluster associated with KDZ transposases,Domain,585,233,39372,67.3,33,Pfam full
PF18866.4,CxC7 like cysteine cluster associated with KDZ transposases,Domain,45,83,2778,61.7,51,Pfam full
PF15211.9,VEGF co-regulated chemokine 1,Family,100,159,8149,81.5,68,Pfam full
PF12109.11,CXCR4 Chemokine receptor N terminal,Domain,228,46,7509,32.9,70,Pfam full
PF03128.17,CXCXC repeat,Repeat,1108,17,14236,12.8,55,Pfam full
PF03692.18,Putative zinc- or iron-chelating domain,Family,7653,550,710473,92.8,22,Pfam full
PF05907.16,"CXXC motif containing zinc binding protein, eukaryotic",Family,1837,703,258749,140.9,35,Pfam full
PF02560.17,Cyanate lyase C-terminal domain,Domain,1997,175,136297,68.3,54,Pfam full
PF18921.3,Cyanophycin synthase-like N-terminal domain,Domain,1522,270,169871,111.6,37,Pfam full
PF15169.9,Cytochrome b-245 chaperone 1 / Eros,Family,401,306,67558,168.5,61,Pfam full
PF05328.15,"CybS, succinate dehydrogenase cytochrome B small subunit",Family,1562,383,193411,123.8,32,Pfam full
PF10438.12,Cyclo-malto-dextrinase C-terminal domain,Domain,783,207,59851,76.4,31,Pfam full
PF09087.14,"Cyclomaltodextrinase, N-terminal",Domain,770,176,67000,87.0,36,Pfam full
PF04199.16,Putative cyclase,Family,10672,1064,1912248,179.2,19,Pfam full
PF04673.15,Polyketide synthesis cyclase,Domain,602,186,62145,103.2,48,Pfam full
PF08613.14,Cyclin,Family,7248,1525,1034791,142.8,24,Pfam full
PF02984.22,"Cyclin, C-terminal domain",Domain,16952,753,1970868,116.3,19,Pfam full
PF16899.8,Cyclin C-terminal domain,Domain,1833,533,214375,117.0,25,Pfam full
PF12014.11,Cyclin D1 binding domain,Domain,2007,1092,347009,172.9,27,Pfam full
PF00134.26,"Cyclin, N-terminal domain",Domain,33915,993,4258752,125.6,20,Pfam full
PF16500.8,Cyclin-A N-terminal APC/C binding region,Disordered,535,416,60171,112.5,28,Pfam full
PF04126.16,Cyclophilin-like,Family,286,289,33789,118.1,37,Pfam full
PF18050.4,Cyclophilin-like family,Domain,1117,314,120245,107.6,27,Pfam full
PF03784.16,Cyclotide family,Domain,8,37,238,29.8,47,Pfam full
PF09600.13,Cyd operon protein YbgE (Cyd_oper_YbgE),Family,314,118,24450,77.9,33,Pfam full
PF16607.8,"Phosphorylation region of CYLD, unstructured",Disordered,597,299,81791,137.0,57,Pfam full
PF15241.9,Cylicin N-terminus,Family,189,164,18451,97.6,49,Pfam full
PF16941.8,Putative cyclodextrin porin,Family,9,414,3041,337.9,41,Pfam full
PF06646.14,Extracytoplasmic thiamine-binding lipoprotein,Family,64,788,20960,327.5,29,Pfam full
PF05865.14,Cypovirus polyhedrin protein,Family,2,248,496,248.0,94,Pfam full
PF07159.15,CYRIA/CYRIB Rac1 binding domain,Domain,3282,969,814529,248.2,39,Pfam full
PF18638.4,Cysteine-Rich Protective Antigen 6 bladed domain,Repeat,52,368,13380,257.3,36,Pfam full
PF17850.4,CysA C-terminal regulatory domain,Domain,723,115,31214,43.2,34,Pfam full
PF10414.12,Sirohaem synthase dimerisation region,Domain,1948,127,111009,57.0,28,Pfam full
PF00031.24,Cystatin domain,Domain,6502,462,586331,90.2,17,Pfam full
PF12734.10,Cysteine-rich TM module stress tolerance,Family,1528,177,79824,52.2,35,Pfam full
PF17869.4,Anosmin cysteine rich domain,Domain,511,177,36040,70.5,61,Pfam full
PF00007.25,Cystine-knot domain,Domain,4182,351,400955,95.9,26,Pfam full
PF01053.23,Cys/Met metabolism PLP-dependent enzyme,Domain,31533,3067,11625163,368.7,33,Pfam full
PF14206.9,Cysteine-rich CPCC,Family,552,194,38350,69.5,37,Pfam full
PF14255.9,Cysteine-rich CPXCG,Family,991,100,50386,50.8,37,Pfam full
PF14375.9,Cysteine-rich CWC,Family,731,130,36105,49.4,32,Pfam full
PF00839.20,Cysteine rich repeat,Family,15036,263,899467,59.8,26,Pfam full
PF14205.9,Cysteine-rich KTR,Family,465,93,24075,51.8,54,Pfam full
PF14194.9,Cysteine-rich VLP,Family,538,89,29447,54.7,55,Pfam full
PF00173.31,Cytochrome b5-like Heme/Steroid binding domain,Domain,28468,681,2312836,81.2,26,Pfam full
PF07271.14,Cytadhesin P30/P32,Family,7,345,1400,200.0,41,Pfam full
PF01928.24,CYTH domain,Domain,7234,983,1246734,172.3,17,Pfam full
PF02224.21,Cytidylate kinase,Domain,8253,1061,1668178,202.1,39,Pfam full
PF13189.9,Cytidylate kinase-like family,Domain,2948,870,505148,171.4,26,Pfam full
PF15153.9,Cytokine-like protein 1,Family,295,215,36475,123.6,46,Pfam full
PF09786.12,"Cytochrome B561, N terminal",Family,1182,2178,530638,448.9,33,Pfam full
PF10643.12,Photosystem P840 reaction-centre cytochrome c-551,Family,19,325,3327,175.1,34,Pfam full
PF00033.22,Cytochrome b/b6/petB,Domain,4593,908,833045,181.4,45,Pfam full
PF13435.9,Cytochrome c554 and c-prime,Family,2923,531,203481,69.6,17,Pfam full
PF14522.9,Cytochrome c7 and related cytochrome c,Family,2311,425,182116,78.8,25,Pfam full
PF11783.11,Cytochrome c bacterial,Family,346,479,58804,170.0,39,Pfam full
PF13442.9,"Cytochrome C oxidase, cbb3-type, subunit III",Domain,30218,531,2415842,79.9,23,Pfam full
PF16694.8,Cytochrome P460,Domain,875,386,109947,125.7,21,Pfam full
PF05038.16,Cytochrome Cytochrome b558 alpha-subunit,Family,306,414,48929,159.9,58,Pfam full
PF00283.22,"Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits",Family,695,39,19894,28.6,54,Pfam full
PF00284.23,"Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit",Family,409,61,15596,38.1,63,Pfam full
PF03188.19,Eukaryotic cytochrome b561,Family,8343,736,1090556,130.7,22,Pfam full
PF07361.14,Cytochrome b562,Family,266,189,27117,101.9,25,Pfam full
PF00032.20,Cytochrome b(C-terminal)/b6/petD,Domain,4475,571,470196,105.1,35,Pfam full
PF13631.9,Cytochrome b(N-terminal)/b6/petB,Domain,2250,729,384230,170.8,47,Pfam full
PF00034.24,Cytochrome c,Domain,29176,749,2877653,98.6,18,Pfam full
PF02167.18,Cytochrome C1 family,Family,4684,952,968809,206.8,35,Pfam full
PF14537.9,Cytochrome c3,Family,945,400,85246,90.2,23,Pfam full
PF14495.9,Cytochrome c-550 domain,Domain,227,247,30401,133.9,46,Pfam full
PF02335.18,Cytochrome c552,Family,913,1388,344206,377.0,30,Pfam full
PF02085.19,Class III cytochrome C family,Domain,1023,375,95069,92.9,21,Pfam full
PF01322.23,Cytochrome C',Domain,2067,361,239111,115.7,25,Pfam full
PF01578.23,Cytochrome C assembly protein,Family,13522,1445,2764899,204.5,21,Pfam full
PF02239.19,Cytochrome D1 heme domain,Repeat,1934,1460,465077,240.5,21,Pfam full
PF03264.17,"NapC/NirT cytochrome c family, N-terminal region",Family,2060,723,328937,159.7,30,Pfam full
PF02276.21,Photosynthetic reaction centre cytochrome C subunit,Family,444,732,100531,226.4,31,Pfam full
PF09265.13,"Cytokinin dehydrogenase 1, FAD and cytokinin binding",Domain,2096,859,490345,233.9,38,Pfam full
PF10407.12,Cdc14 phosphatase binding protein N-terminus,Family,219,129,15154,69.2,29,Pfam full
PF01801.19,Cytomegalovirus glycoprotein L,Family,28,349,6124,218.7,34,Pfam full
PF06084.14,Cytomegalovirus TRL10 protein,Family,10,211,1138,113.8,25,Pfam full
PF05984.15,Cytomegalovirus UL20A protein,Family,3,115,306,102.0,56,Pfam full
PF06284.14,Cytomegalovirus UL84 protein,Family,29,665,6620,228.3,27,Pfam full
PF05963.14,Cytomegalovirus US3 protein,Family,15,284,2727,181.8,26,Pfam full
PF09000.13,Cytotoxic,Domain,108,161,7875,72.9,30,Pfam full
PF01265.20,Cytochrome c/c1 heme lyase,Family,2437,1256,565171,231.9,37,Pfam full
PF10890.11,Cytochrome b-c1 complex subunit 8,Family,299,110,20666,69.1,67,Pfam full
PF01654.20,Cytochrome bd terminal oxidase subunit I,Family,7556,1732,3187997,421.9,34,Pfam full
PF02322.18,Cytochrome bd terminal oxidase subunit II,Family,7112,854,2288954,321.8,29,Pfam full
PF12270.11,Cytochrome c oxidase subunit IV,Family,1514,226,201203,132.9,40,Pfam full
PF10873.11,Cysteine and tyrosine-rich protein 1,Family,279,311,36167,129.6,62,Pfam full
PF13682.9,Chemoreceptor zinc-binding domain,Domain,1693,169,113723,67.2,23,Pfam full
PF16986.8,Heavy-metal resistance protein CzcE,Domain,115,138,9107,79.2,32,Pfam full
PF09719.13,Putative redox-active protein (C_GCAxxG_C_C),Family,1790,426,215987,120.7,24,Pfam full
PF16821.8,C protein from hendra and measles viruses,Family,14,171,2119,151.4,19,Pfam full
PF17538.5,DNA Binding Domain (C-terminal) Leafy/Floricaula,Domain,236,262,37440,158.6,80,Pfam full
PF02363.22,Cysteine rich repeat,Repeat,4000,55,69856,17.5,37,Pfam full
PF07286.15,D-glutamate cyclase,Family,2085,424,294448,141.2,50,Pfam full
PF14031.9,Putative serine dehydratase domain,Domain,4567,480,446267,97.7,27,Pfam full
PF07065.17,D123,Family,2011,1517,543884,270.5,33,Pfam full
PF13225.9,"Beta-carotene isomerase D27-like, C-terminal",Domain,834,249,67711,81.2,51,Pfam full
PF08706.14,D5 N terminal like,Domain,2289,1012,360415,157.5,15,Pfam full
PF12315.11,Protein DA1,Family,1548,694,272774,176.2,53,Pfam full
PF18752.4,Dictyosteliid AID/APOBEC-like Deaminase,Family,13,450,3775,290.4,23,Pfam full
PF15773.8,Dynein axonemal-associated protein 1,Family,300,1072,97791,326.0,32,Pfam full
PF10070.12,Probable inorganic carbon transporter subunit DabA,Family,1053,2042,795719,755.7,32,Pfam full
PF07876.15,Stress responsive A/B Barrel Domain,Domain,7524,420,727580,96.7,21,Pfam full
PF02457.19,DisA bacterial checkpoint controller nucleotide-binding,Family,5407,423,641979,118.7,36,Pfam full
PF19294.2,"Diadenylate cyclase, N-terminal",Domain,111,142,13768,124.0,52,Pfam full
PF02109.19,DAD family,Family,1649,348,172127,104.4,47,Pfam full
PF05454.14,Dystroglycan (Dystrophin-associated glycoprotein 1),Family,761,1134,185739,244.1,33,Pfam full
PF03982.16,Diacylglycerol acyltransferase,Family,6148,2289,1397446,227.3,27,Pfam full
PF00609.22,Diacylglycerol kinase accessory domain,Family,10032,769,1546288,154.1,39,Pfam full
PF00781.27,Diacylglycerol kinase catalytic domain,Family,27760,868,3443038,124.0,25,Pfam full
PF01219.22,Prokaryotic diacylglycerol kinase,Family,4396,184,445787,101.4,33,Pfam full
PF14513.9,Diacylglycerol kinase N-terminus,Domain,2559,908,273668,106.9,30,Pfam full
PF19443.2,DAHL domain,Domain,224,435,48621,217.1,17,Pfam full
PF18152.4,DAHP synthase ferredoxin-like domain,Domain,2006,202,134949,67.3,30,Pfam full
PF00793.23,DAHP synthetase I family,Domain,14572,1247,4082596,280.2,28,Pfam full
PF01474.19,Class-II DAHP synthetase family,Domain,5743,1358,2175391,378.8,49,Pfam full
PF02733.20,Dak1 domain,Family,6390,1091,1918129,300.2,39,Pfam full
PF13684.9,Dihydroxyacetone kinase family,Domain,3089,1383,878494,284.4,31,Pfam full
PF02734.20,DAK2 domain,Family,9157,699,1533533,167.5,27,Pfam full
PF07478.16,D-ala D-ala ligase C-terminus,Family,11914,1630,2304306,193.4,27,Pfam full
PF01820.24,D-ala D-ala ligase N-terminus,Family,9608,677,980734,102.1,35,Pfam full
PF05746.18,DALR anticodon binding domain,Domain,16279,589,1917103,117.8,24,Pfam full
PF09190.14,DALR domain,Domain,7543,281,477595,63.3,29,Pfam full
PF05869.14,DNA N-6-adenine-methyltransferase (Dam),Family,617,596,95951,155.5,25,Pfam full
PF03045.18,DAN domain,Domain,1741,416,190134,109.2,33,Pfam full
PF01266.27,FAD dependent oxidoreductase,Domain,73495,3464,25071422,341.1,17,Pfam full
PF15199.9,D-amino acid oxidase activator,Family,16,109,784,49.0,54,Pfam full
PF16901.8,C-terminal domain of alpha-glycerophosphate oxidase,Family,8790,534,1075430,122.3,25,Pfam full
PF15228.9,Death-associated protein,Family,758,241,66012,87.1,37,Pfam full
PF07213.14,DAP10 membrane protein,Family,244,227,16731,68.6,37,Pfam full
PF10236.12,Mitochondrial ribosomal death-associated protein 3,Family,1977,1335,527333,266.7,24,Pfam full
PF05173.17,"Dihydrodipicolinate reductase, C-terminus",Domain,8669,464,1165191,134.4,34,Pfam full
PF01113.23,"Dihydrodipicolinate reductase, N-terminus",Domain,10244,621,1155637,112.8,25,Pfam full
PF16654.8,Diaminopimelic acid dehydrogenase C-terminal domain,Domain,958,275,128805,134.5,55,Pfam full
PF18089.4,DAPG hydrolase PhiG domain,Domain,316,576,62988,199.3,28,Pfam full
PF08503.13,Tetrahydrodipicolinate succinyltransferase N-terminal,Family,796,123,66222,83.2,46,Pfam full
PF15268.9,Dapper,Family,1314,2425,505482,384.7,24,Pfam full
PF07930.15,"D-aminopeptidase, domain B",Domain,232,322,41661,179.6,38,Pfam full
PF19328.2,"2,4-diaminopentanoate dehydrogenase C-terminal domain",Domain,1668,1040,341276,204.6,25,Pfam full
PF01678.22,Diaminopimelate epimerase,Domain,15630,637,1889238,120.9,24,Pfam full
PF18789.4,Defence against restriction A C-terminal,Domain,136,89,9129,67.1,43,Pfam full
PF18788.4,Defence against restriction A N-terminal,Family,55,166,6246,113.6,29,Pfam full
PF17074.8,"Darcynin, domain of unknown function",Family,155,175,17417,112.4,36,Pfam full
PF05395.15,Protein phosphatase inhibitor 1/DARPP-32,Family,1010,694,135895,134.5,38,Pfam full
PF14487.9,"ssDNA thymidine ADP-ribosyltransferase, DarT",Family,628,529,114678,182.6,20,Pfam full
PF08655.13,DASH complex subunit Ask1,Family,715,150,44850,62.7,55,Pfam full
PF08649.13,DASH complex subunit Dad1,Family,654,101,35344,54.0,51,Pfam full
PF08654.13,DASH complex subunit Dad2,Family,703,270,65264,92.8,37,Pfam full
PF08656.13,DASH complex subunit Dad3,Family,656,272,48513,74.0,47,Pfam full
PF08650.13,DASH complex subunit Dad4,Family,646,143,43901,68.0,51,Pfam full
PF08653.13,DASH complex subunit Dam1,Family,721,73,39973,55.4,52,Pfam full
PF08651.13,DASH complex subunit Duo1,Family,696,120,50693,72.8,43,Pfam full
PF08227.14,DASH complex subunit Hsk3 like,Family,788,66,35615,45.2,42,Pfam full
PF08287.14,Spc19,Family,685,355,98651,144.0,34,Pfam full
PF08657.13,DASH complex subunit Spc34,Family,904,787,119325,132.0,23,Pfam full
PF04447.15,dATP/dGTP pyrophosphohydrolase,Domain,111,247,10408,93.8,36,Pfam full
PF03344.18,Daxx N-terminal Rassf1C-interacting domain,Domain,313,161,30174,96.4,59,Pfam full
PF18872.3,Daz repeat,Repeat,436,37,9094,20.9,79,Pfam full
PF11029.11,DAZ associated protein 2 (DAZAP2),Family,585,375,71856,122.8,48,Pfam full
PF01682.22,DB module,Family,1729,313,164169,95.0,26,Pfam full
PF14545.9,"Dof, BCAP, and BANK (DBB) motif,",Domain,947,312,126091,133.1,34,Pfam full
PF14443.9,DBC1,Domain,1383,333,162552,117.5,50,Pfam full
PF18430.4,Putative DNA-binding domain,Domain,341,48,11695,34.3,43,Pfam full
