id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,PF05899.15,EutQ-like cupin domain,Domain,24,100,1831,76.3,27,Pfam seed
,PF06172.14,Cupin superfamily (DUF985),Domain,267,333,37848,141.8,36,Pfam seed
,PF12852.10,Cupin,Domain,80,326,14728,184.1,23,Pfam seed
,PF12973.10,ChrR Cupin-like domain,Domain,31,99,2791,90.0,43,Pfam seed
,PF13621.9,Cupin-like domain,Domain,42,934,12043,286.7,21,Pfam seed
,PF13473.9,Cupredoxin-like domain,Domain,59,166,6334,107.4,24,Pfam seed
,PF07012.15,Curlin associated repeat,Repeat,87,54,2971,34.1,34,Pfam seed
,PF07325.14,Curtovirus V2 protein,Family,2,126,251,125.5,66,Pfam seed
,PF07436.14,Curtovirus V3 protein,Family,2,87,173,86.5,69,Pfam seed
,PF00529.23,Cation efflux system protein CusB domain 1,Family,43,426,14316,332.9,17,Pfam seed
,PF11604.11,Copper binding periplasmic protein CusF,Family,181,77,12059,66.6,32,Pfam seed
,PF02376.18,CUT domain,Domain,37,99,2923,79.0,34,Pfam seed
,PF11500.11,Cut12 conserved domain,Domain,34,197,4900,144.1,40,Pfam seed
,PF08559.13,"Cut8, nuclear proteasome tether protein",Family,81,364,19440,240.0,29,Pfam seed
,PF03091.18,CutA1 divalent ion tolerance protein,Domain,412,134,40391,98.0,35,Pfam seed
,PF03932.17,CutC family,Domain,6,207,1212,202.0,41,Pfam seed
,PF08140.14,Crustacean cuticle protein repeat,Family,38,43,1521,40.0,44,Pfam seed
,PF08184.14,Cuticle protein 7 isoform family,Family,3,59,177,59.0,95,Pfam seed
,PF11018.11,Pupal cuticle protein C1,Family,6,218,1067,177.8,57,Pfam seed
,PF15955.8,Cuticle protein,Family,27,110,2112,78.2,48,Pfam seed
,PF01083.25,Cutinase,Domain,15,237,2791,186.1,30,Pfam seed
,PF16557.8,CUT1-like DNA-binding domain of SATB,Domain,4,72,286,71.5,45,Pfam seed
,PF01179.23,"Copper amine oxidase, enzyme domain",Domain,299,640,122269,408.9,33,Pfam seed
,PF07833.14,Copper amine oxidase N-terminal domain,Domain,113,174,10673,94.5,27,Pfam seed
,PF02727.19,"Copper amine oxidase, N2 domain",Domain,9,96,782,86.9,27,Pfam seed
,PF02728.19,"Copper amine oxidase, N3 domain",Domain,11,112,1112,101.1,21,Pfam seed
,PF18252.4,Copper(I)-binding protein CorA,Domain,1,175,175,175.0,100,Pfam seed
,PF02298.20,Plastocyanin-like domain,Domain,15,106,1268,84.5,35,Pfam seed
,PF17783.4,CvfB-like winged helix domain,Domain,51,60,2964,58.1,38,Pfam seed
,PF08881.13,CVNH domain,Domain,126,244,13835,109.8,31,Pfam seed
,PF12542.11,Pre-mRNA splicing factor,Family,112,189,10722,95.7,29,Pfam seed
,PF08315.15,cwf18 pre-mRNA splicing factor,Family,129,252,18085,140.2,36,Pfam seed
,PF08312.15,cwf21 domain,Domain,149,106,7168,48.1,39,Pfam seed
,PF04677.18,Protein similar to CwfJ C-terminus 1,Family,8,145,1014,126.8,27,Pfam seed
,PF04676.17,Protein similar to CwfJ C-terminus 2,Family,139,208,13843,99.6,28,Pfam seed
,PF04889.15,Cwf15/Cwc15 cell cycle control protein,Family,94,431,23403,249.0,45,Pfam seed
,PF10814.11,Cell wall synthesis protein CwsA,Family,6,151,803,133.8,58,Pfam seed
,PF08230.14,CW_7 repeat,Domain,24,40,942,39.2,55,Pfam seed
,PF04122.15,ell wall binding domain 2 (CWB2),Domain,958,323,86158,89.9,26,Pfam seed
,PF01705.22,CX module,Family,62,72,3725,60.1,32,Pfam seed
,PF16860.8,"CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,",Domain,34,47,1493,43.9,33,Pfam seed
,PF18802.4,CxC1 like cysteine cluster associated with KDZ transposases,Domain,31,108,3209,103.5,46,Pfam seed
,PF18803.4,CxC2 like cysteine cluster associated with KDZ transposases,Domain,269,136,28977,107.7,42,Pfam seed
,PF18804.4,CxC3 like cysteine cluster associated with KDZ transposases,Domain,22,130,2513,114.2,28,Pfam seed
,PF18717.4,CxC4 like cysteine cluster associated with KDZ transposases,Domain,59,188,7767,131.6,26,Pfam seed
,PF18718.4,CxC5 like cysteine cluster associated with KDZ transposases,Domain,123,197,14802,120.3,26,Pfam seed
,PF18721.4,CxC6 like cysteine cluster associated with KDZ transposases,Domain,224,130,15502,69.2,35,Pfam seed
,PF18866.4,CxC7 like cysteine cluster associated with KDZ transposases,Domain,3,64,192,64.0,96,Pfam seed
,PF15211.9,VEGF co-regulated chemokine 1,Family,10,106,903,90.3,68,Pfam seed
,PF12109.11,CXCR4 Chemokine receptor N terminal,Domain,6,34,198,33.0,55,Pfam seed
,PF03128.17,CXCXC repeat,Repeat,29,13,377,13.0,42,Pfam seed
,PF03692.18,Putative zinc- or iron-chelating domain,Family,35,159,2978,85.1,26,Pfam seed
,PF05907.16,"CXXC motif containing zinc binding protein, eukaryotic",Family,135,245,21080,156.1,35,Pfam seed
,PF02560.17,Cyanate lyase C-terminal domain,Domain,60,78,4135,68.9,54,Pfam seed
,PF18921.3,Cyanophycin synthase-like N-terminal domain,Domain,42,142,4844,115.3,38,Pfam seed
,PF15169.9,Cytochrome b-245 chaperone 1 / Eros,Family,14,191,2571,183.6,44,Pfam seed
,PF05328.15,"CybS, succinate dehydrogenase cytochrome B small subunit",Family,35,151,4679,133.7,36,Pfam seed
,PF10438.12,Cyclo-malto-dextrinase C-terminal domain,Domain,72,99,5489,76.2,31,Pfam seed
,PF09087.14,"Cyclomaltodextrinase, N-terminal",Domain,66,101,5722,86.7,37,Pfam seed
,PF04199.16,Putative cyclase,Family,367,540,63936,174.2,22,Pfam seed
,PF04673.15,Polyketide synthesis cyclase,Domain,38,113,3942,103.7,44,Pfam seed
,PF08613.14,Cyclin,Family,6,260,994,165.7,28,Pfam seed
,PF02984.22,"Cyclin, C-terminal domain",Domain,237,238,28619,120.8,25,Pfam seed
,PF16899.8,Cyclin C-terminal domain,Domain,92,231,11014,119.7,29,Pfam seed
,PF12014.11,Cyclin D1 binding domain,Domain,97,386,17702,182.5,30,Pfam seed
,PF00134.26,"Cyclin, N-terminal domain",Domain,95,187,12203,128.5,32,Pfam seed
,PF16500.8,Cyclin-A N-terminal APC/C binding region,Disordered,79,227,9020,114.2,24,Pfam seed
,PF04126.16,Cyclophilin-like,Family,13,126,1541,118.5,37,Pfam seed
,PF18050.4,Cyclophilin-like family,Domain,75,149,8282,110.4,24,Pfam seed
,PF03784.16,Cyclotide family,Domain,30,39,900,30.0,53,Pfam seed
,PF09600.13,Cyd operon protein YbgE (Cyd_oper_YbgE),Family,26,83,2035,78.3,33,Pfam seed
,PF16607.8,"Phosphorylation region of CYLD, unstructured",Disordered,6,171,981,163.5,59,Pfam seed
,PF15241.9,Cylicin N-terminus,Family,15,113,1600,106.7,49,Pfam seed
,PF16941.8,Putative cyclodextrin porin,Family,1,341,341,341.0,100,Pfam seed
,PF06646.14,Extracytoplasmic thiamine-binding lipoprotein,Family,5,379,1666,333.2,37,Pfam seed
,PF05865.14,Cypovirus polyhedrin protein,Family,1,248,248,248.0,100,Pfam seed
,PF07159.15,CYRIA/CYRIB Rac1 binding domain,Domain,31,359,9385,302.7,45,Pfam seed
,PF18638.4,Cysteine-Rich Protective Antigen 6 bladed domain,Repeat,4,325,1268,317.0,34,Pfam seed
,PF17850.4,CysA C-terminal regulatory domain,Domain,209,65,9062,43.4,32,Pfam seed
,PF10414.12,Sirohaem synthase dimerisation region,Domain,150,61,8625,57.5,32,Pfam seed
,PF00031.24,Cystatin domain,Domain,34,103,3119,91.7,21,Pfam seed
,PF12734.10,Cysteine-rich TM module stress tolerance,Family,42,79,1763,42.0,35,Pfam seed
,PF17869.4,Anosmin cysteine rich domain,Domain,6,85,485,80.8,56,Pfam seed
,PF00007.25,Cystine-knot domain,Domain,24,112,2464,102.7,34,Pfam seed
,PF17486.5,Cystine knot toxins,Family,9,72,617,68.6,51,Pfam seed
,PF01053.23,Cys/Met metabolism PLP-dependent enzyme,Domain,25,471,9632,385.3,37,Pfam seed
,PF14206.9,Cysteine-rich CPCC,Family,29,83,2159,74.4,42,Pfam seed
,PF14255.9,Cysteine-rich CPXCG,Family,60,55,3057,51.0,40,Pfam seed
,PF14375.9,Cysteine-rich CWC,Family,47,81,2381,50.7,32,Pfam seed
,PF00839.20,Cysteine rich repeat,Family,61,91,3718,61.0,23,Pfam seed
,PF14205.9,Cysteine-rich KTR,Family,18,54,966,53.7,58,Pfam seed
,PF14194.9,Cysteine-rich VLP,Family,18,62,1001,55.6,50,Pfam seed
,PF00173.31,Cytochrome b5-like Heme/Steroid binding domain,Domain,80,152,6416,80.2,30,Pfam seed
,PF07271.14,Cytadhesin P30/P32,Family,3,310,840,280.0,38,Pfam seed
,PF01928.24,CYTH domain,Domain,51,290,8756,171.7,18,Pfam seed
,PF02224.21,Cytidylate kinase,Domain,12,262,2584,215.3,36,Pfam seed
,PF13189.9,Cytidylate kinase-like family,Domain,40,261,7147,178.7,23,Pfam seed
,PF15153.9,Cytokine-like protein 1,Family,8,139,1040,130.0,53,Pfam seed
,PF09786.12,"Cytochrome B561, N terminal",Family,15,804,9137,609.1,32,Pfam seed
,PF10643.12,Photosystem P840 reaction-centre cytochrome c-551,Family,2,216,419,209.5,70,Pfam seed
,PF00033.22,Cytochrome b/b6/petB,Domain,8,190,1509,188.6,43,Pfam seed
,PF13435.9,Cytochrome c554 and c-prime,Family,35,142,2694,77.0,33,Pfam seed
,PF14522.9,Cytochrome c7 and related cytochrome c,Family,75,166,5104,68.1,34,Pfam seed
,PF11783.11,Cytochrome c bacterial,Family,53,338,9341,176.2,42,Pfam seed
,PF13442.9,"Cytochrome C oxidase, cbb3-type, subunit III",Domain,141,161,10519,74.6,22,Pfam seed
,PF16694.8,Cytochrome P460,Domain,67,196,8633,128.9,28,Pfam seed
,PF05038.16,Cytochrome Cytochrome b558 alpha-subunit,Family,6,190,1106,184.3,69,Pfam seed
,PF00283.22,"Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits",Family,15,29,431,28.7,47,Pfam seed
,PF00284.23,"Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit",Family,37,39,1439,38.9,61,Pfam seed
,PF03188.19,Eukaryotic cytochrome b561,Family,36,154,4917,136.6,30,Pfam seed
,PF07361.14,Cytochrome b562,Family,35,116,3561,101.7,26,Pfam seed
,PF00032.20,Cytochrome b(C-terminal)/b6/petD,Domain,156,198,16591,106.4,44,Pfam seed
,PF13631.9,Cytochrome b(N-terminal)/b6/petB,Domain,31,274,5496,177.3,33,Pfam seed
,PF00034.24,Cytochrome c,Domain,53,176,4859,91.7,17,Pfam seed
,PF02167.18,Cytochrome C1 family,Family,53,362,12061,227.6,44,Pfam seed
,PF14537.9,Cytochrome c3,Family,38,153,3123,82.2,33,Pfam seed
,PF14495.9,Cytochrome c-550 domain,Domain,25,168,3405,136.2,46,Pfam seed
,PF02335.18,Cytochrome c552,Family,24,641,10712,446.3,38,Pfam seed
,PF02085.19,Class III cytochrome C family,Domain,22,158,2288,104.0,30,Pfam seed
,PF01322.23,Cytochrome C',Domain,122,142,14711,120.6,27,Pfam seed
,PF01578.23,Cytochrome C assembly protein,Family,39,327,8356,214.3,23,Pfam seed
,PF02239.19,Cytochrome D1 heme domain,Repeat,8,413,3029,378.6,36,Pfam seed
,PF03264.17,"NapC/NirT cytochrome c family, N-terminal region",Family,57,198,9861,173.0,44,Pfam seed
,PF02276.21,Photosynthetic reaction centre cytochrome C subunit,Family,17,357,5310,312.4,47,Pfam seed
,PF09265.13,"Cytokinin dehydrogenase 1, FAD and cytokinin binding",Domain,70,392,19652,280.7,45,Pfam seed
,PF10407.12,Cdc14 phosphatase binding protein N-terminus,Family,36,75,2573,71.5,42,Pfam seed
,PF01801.19,Cytomegalovirus glycoprotein L,Family,3,250,654,218.0,29,Pfam seed
,PF06084.14,Cytomegalovirus TRL10 protein,Family,5,162,752,150.4,77,Pfam seed
,PF05984.15,Cytomegalovirus UL20A protein,Family,1,103,103,103.0,100,Pfam seed
,PF06284.14,Cytomegalovirus UL84 protein,Family,1,586,586,586.0,100,Pfam seed
,PF05963.14,Cytomegalovirus US3 protein,Family,2,212,368,184.0,28,Pfam seed
,PF09000.13,Cytotoxic,Domain,7,84,569,81.3,53,Pfam seed
,PF01265.20,Cytochrome c/c1 heme lyase,Family,56,420,16456,293.9,49,Pfam seed
,PF10890.11,Cytochrome b-c1 complex subunit 8,Family,8,73,574,71.8,41,Pfam seed
,PF01654.20,Cytochrome bd terminal oxidase subunit I,Family,525,1004,236877,451.2,36,Pfam seed
,PF02322.18,Cytochrome bd terminal oxidase subunit II,Family,581,605,192125,330.7,29,Pfam seed
,PF12270.11,Cytochrome c oxidase subunit IV,Family,47,147,6257,133.1,44,Pfam seed
,PF10873.11,Cysteine and tyrosine-rich protein 1,Family,6,153,887,147.8,63,Pfam seed
,PF13682.9,Chemoreceptor zinc-binding domain,Domain,326,159,21861,67.1,21,Pfam seed
,PF16986.8,Heavy-metal resistance protein CzcE,Domain,11,81,861,78.3,32,Pfam seed
,PF09719.13,Putative redox-active protein (C_GCAxxG_C_C),Family,334,261,40939,122.6,26,Pfam seed
,PF16821.8,C protein from hendra and measles viruses,Family,9,165,1365,151.7,19,Pfam seed
,PF17538.5,DNA Binding Domain (C-terminal) Leafy/Floricaula,Domain,3,170,508,169.3,77,Pfam seed
,PF02363.22,Cysteine rich repeat,Repeat,165,19,2827,17.1,35,Pfam seed
,PF07286.15,D-glutamate cyclase,Family,158,203,22931,145.1,49,Pfam seed
,PF14031.9,Putative serine dehydratase domain,Domain,346,234,34709,100.3,25,Pfam seed
,PF07065.17,D123,Family,115,541,35984,312.9,36,Pfam seed
,PF13225.9,"Beta-carotene isomerase D27-like, C-terminal",Domain,33,112,2814,85.3,47,Pfam seed
,PF08706.14,D5 N terminal like,Domain,68,373,10582,155.6,16,Pfam seed
,PF12315.11,Protein DA1,Family,29,262,6115,210.9,53,Pfam seed
,PF18752.4,Dictyosteliid AID/APOBEC-like Deaminase,Family,11,431,3441,312.8,25,Pfam seed
,PF15773.8,Dynein axonemal-associated protein 1,Family,13,525,6336,487.4,59,Pfam seed
,PF10070.12,Probable inorganic carbon transporter subunit DabA,Family,115,1529,95411,829.7,32,Pfam seed
,PF07876.15,Stress responsive A/B Barrel Domain,Domain,38,133,3710,97.6,21,Pfam seed
,PF02457.19,DisA bacterial checkpoint controller nucleotide-binding,Family,501,162,59991,119.7,36,Pfam seed
,PF19294.2,"Diadenylate cyclase, N-terminal",Domain,55,133,6869,124.9,52,Pfam seed
,PF02109.19,DAD family,Family,105,149,11444,109.0,46,Pfam seed
,PF05454.14,Dystroglycan (Dystrophin-associated glycoprotein 1),Family,4,303,1143,285.8,50,Pfam seed
,PF03982.16,Diacylglycerol acyltransferase,Family,6,302,1756,292.7,42,Pfam seed
,PF00609.22,Diacylglycerol kinase accessory domain,Family,32,218,5278,164.9,31,Pfam seed
,PF00781.27,Diacylglycerol kinase catalytic domain,Family,105,209,13429,127.9,25,Pfam seed
,PF01219.22,Prokaryotic diacylglycerol kinase,Family,463,124,47150,101.8,33,Pfam seed
,PF14513.9,Diacylglycerol kinase N-terminus,Domain,30,278,4855,161.8,43,Pfam seed
,PF19443.2,DAHL domain,Domain,136,323,30451,223.9,18,Pfam seed
,PF18152.4,DAHP synthase ferredoxin-like domain,Domain,77,92,5196,67.5,31,Pfam seed
,PF00793.23,DAHP synthetase I family,Domain,20,336,5720,286.0,31,Pfam seed
,PF01474.19,Class-II DAHP synthetase family,Domain,171,750,75660,442.5,50,Pfam seed
,PF02733.20,Dak1 domain,Family,280,447,87869,313.8,41,Pfam seed
,PF13684.9,Dihydroxyacetone kinase family,Domain,133,464,42356,318.5,32,Pfam seed
,PF02734.20,DAK2 domain,Family,122,224,20920,171.5,27,Pfam seed
,PF07478.16,D-ala D-ala ligase C-terminus,Family,12,222,2439,203.2,34,Pfam seed
,PF01820.24,D-ala D-ala ligase N-terminus,Family,508,303,63241,124.5,32,Pfam seed
,PF05746.18,DALR anticodon binding domain,Domain,104,182,12291,118.2,27,Pfam seed
,PF09190.14,DALR domain,Domain,66,100,4254,64.5,33,Pfam seed
,PF05869.14,DNA N-6-adenine-methyltransferase (Dam),Family,5,217,879,175.8,34,Pfam seed
,PF03045.18,DAN domain,Domain,34,157,3891,114.4,33,Pfam seed
,PF01266.27,FAD dependent oxidoreductase,Domain,521,1203,187659,360.2,16,Pfam seed
,PF15199.9,D-amino acid oxidase activator,Family,2,82,159,79.5,92,Pfam seed
,PF16901.8,C-terminal domain of alpha-glycerophosphate oxidase,Family,303,218,38642,127.5,30,Pfam seed
,PF15228.9,Death-associated protein,Family,38,113,3577,94.1,41,Pfam seed
,PF07213.14,DAP10 membrane protein,Family,3,79,237,79.0,77,Pfam seed
,PF10236.12,Mitochondrial ribosomal death-associated protein 3,Family,24,399,7632,318.0,26,Pfam seed
,PF05173.17,"Dihydrodipicolinate reductase, C-terminus",Domain,555,278,74914,135.0,36,Pfam seed
,PF01113.23,"Dihydrodipicolinate reductase, N-terminus",Domain,97,167,11552,119.1,31,Pfam seed
,PF16654.8,Diaminopimelic acid dehydrogenase C-terminal domain,Domain,53,162,8191,154.5,61,Pfam seed
,PF18089.4,DAPG hydrolase PhiG domain,Domain,20,328,4404,220.2,30,Pfam seed
,PF08503.13,Tetrahydrodipicolinate succinyltransferase N-terminal,Family,87,90,7177,82.5,41,Pfam seed
,PF15268.9,Dapper,Family,26,1094,20343,782.4,35,Pfam seed
,PF07930.15,"D-aminopeptidase, domain B",Domain,20,207,3635,181.8,39,Pfam seed
,PF19328.2,"2,4-diaminopentanoate dehydrogenase C-terminal domain",Domain,24,206,4944,206.0,56,Pfam seed
,PF01678.22,Diaminopimelate epimerase,Domain,24,162,2943,122.6,23,Pfam seed
,PF18789.4,Defence against restriction A C-terminal,Domain,28,72,1841,65.8,31,Pfam seed
,PF18788.4,Defence against restriction A N-terminal,Family,23,147,2666,115.9,29,Pfam seed
,PF17074.8,"Darcynin, domain of unknown function",Family,2,127,245,122.5,51,Pfam seed
,PF05395.15,Protein phosphatase inhibitor 1/DARPP-32,Family,8,227,1369,171.1,41,Pfam seed
,PF14487.9,"ssDNA thymidine ADP-ribosyltransferase, DarT",Family,47,261,9340,198.7,23,Pfam seed
,PF08655.13,DASH complex subunit Ask1,Family,41,65,2616,63.8,39,Pfam seed
,PF08649.13,DASH complex subunit Dad1,Family,49,55,2683,54.8,42,Pfam seed
,PF08654.13,DASH complex subunit Dad2,Family,54,135,5460,101.1,38,Pfam seed
,PF08656.13,DASH complex subunit Dad3,Family,51,128,4003,78.5,40,Pfam seed
,PF08650.13,DASH complex subunit Dad4,Family,39,73,2733,70.1,43,Pfam seed
,PF08653.13,DASH complex subunit Dam1,Family,43,57,2404,55.9,40,Pfam seed
,PF08651.13,DASH complex subunit Duo1,Family,74,78,5454,73.7,33,Pfam seed
,PF08227.14,DASH complex subunit Hsk3 like,Family,41,47,1841,44.9,37,Pfam seed
,PF08287.14,Spc19,Family,80,189,11847,148.1,32,Pfam seed
,PF08657.13,DASH complex subunit Spc34,Family,23,424,6317,274.7,28,Pfam seed
,PF04447.15,dATP/dGTP pyrophosphohydrolase,Domain,5,99,488,97.6,41,Pfam seed
,PF03344.18,Daxx N-terminal Rassf1C-interacting domain,Domain,11,99,1089,99.0,56,Pfam seed
,PF18872.3,Daz repeat,Repeat,5,21,105,21.0,76,Pfam seed
,PF11029.11,DAZ associated protein 2 (DAZAP2),Family,17,212,2314,136.1,42,Pfam seed
,PF01682.22,DB module,Family,75,125,7258,96.8,27,Pfam seed
,PF14545.9,"Dof, BCAP, and BANK (DBB) motif,",Domain,28,153,3885,138.8,32,Pfam seed
,PF14443.9,DBC1,Domain,22,132,2650,120.5,39,Pfam seed
,PF18430.4,Putative DNA-binding domain,Domain,13,35,455,35.0,45,Pfam seed
,PF10683.12,Hermes transposase DNA-binding domain,Domain,4,68,272,68.0,60,Pfam seed
,PF03108.18,MuDR family transposase,Family,5,68,332,66.4,29,Pfam seed
,PF13892.9,DNA-binding domain,Domain,60,162,8018,133.6,41,Pfam seed
,PF02277.20,Phosphoribosyltransferase,Domain,408,542,136381,334.3,39,Pfam seed
,PF20496.1,Double strand break localizing Dbl7,Family,2,274,526,263.0,34,Pfam seed
,PF12361.11,Duffy-antigen binding protein,Family,1,304,304,304.0,100,Pfam seed
,PF08147.15,DBP10CT (NUC160) domain,Domain,106,98,6764,63.8,39,Pfam seed
,PF03880.18,DbpA RNA binding domain,Domain,505,81,36045,71.4,27,Pfam seed
,PF16610.8,Unstructured region between two PDZ domains on Dlg5,Disordered,9,81,709,78.8,62,Pfam seed
,PF05011.16,"Lariat debranching enzyme, C-terminal domain",Domain,131,301,18627,142.2,34,Pfam seed
,PF18526.4,Thymine dioxygenase JBP1 DNA-binding domain,Domain,3,164,492,164.0,53,Pfam seed
,PF15349.9,DDB1- and CUL4-associated factor 16,Family,2,216,432,216.0,94,Pfam seed
,PF02743.21,Cache domain,Domain,107,411,25898,242.0,11,Pfam seed
,PF08269.14,Cache domain,Domain,36,419,10656,296.0,20,Pfam seed
,PF14827.9,Double sensory domain of two-component sensor kinase,Domain,18,355,4381,243.4,12,Pfam seed
,PF14939.9,"DDB1-and CUL4-substrate receptor 15, WD repeat",Repeat,14,251,2957,211.2,34,Pfam seed
,PF15802.8,DDB1- and CUL4-associated factor 17,Family,13,528,6080,467.7,49,Pfam seed
,PF19577.2,DcaP outer membrane protein,Domain,1,410,410,410.0,100,Pfam seed
,PF16213.8,Dimerisation and cyclophilin-binding domain of Mon2,Family,22,240,3955,179.8,34,Pfam seed
,PF09724.12,Sister chromatid cohesion protein Dcc1,Family,107,689,35446,331.3,24,Pfam seed
,PF04134.15,DCC1-like thiol-disulfide oxidoreductase,Family,68,160,7539,110.9,22,Pfam seed
,PF06559.14,2'-deoxycytidine 5'-triphosphate deaminase (DCD),Family,32,412,11415,356.7,56,Pfam seed
,PF05258.15,"Dna[CI] antecedent, DciA",Family,85,123,7525,88.5,19,Pfam seed
,PF00383.26,Cytidine and deoxycytidylate deaminase zinc-binding region,Domain,46,201,4978,108.2,26,Pfam seed
,PF08211.15,Cytidine and deoxycytidylate deaminase zinc-binding region,Family,56,209,7280,130.0,42,Pfam seed
,PF06058.16,Dcp1-like decapping family,Domain,70,174,8381,119.7,30,Pfam seed
,PF05026.16,"Dcp2, box A domain",Domain,90,145,7519,83.5,37,Pfam seed
,PF05652.15,Scavenger mRNA decapping enzyme (DcpS) N-terminal,Family,109,266,12117,111.2,37,Pfam seed
,PF11969.11,Scavenger mRNA decapping enzyme C-term binding,Family,64,180,7509,117.3,24,Pfam seed
,PF14047.9,Dppa2/4 conserved region,Family,18,77,1198,66.6,56,Pfam seed
,PF08786.14,DcrB,Domain,33,170,4284,129.8,22,Pfam seed
,PF11739.11,Dicarboxylate transport,Domain,59,274,12095,205.0,23,Pfam seed
,PF06808.15,"Tripartite ATP-independent periplasmic transporter, DctM component",Family,17,640,7369,433.5,24,Pfam seed
,PF03480.16,"Bacterial extracellular solute-binding protein, family 7",Family,31,337,8874,286.3,25,Pfam seed
,PF04290.15,"Tripartite ATP-independent periplasmic transporters, DctQ component",Family,74,190,9845,133.0,18,Pfam seed
,PF03605.17,Anaerobic c4-dicarboxylate membrane transporter,Family,86,419,31452,365.7,43,Pfam seed
,PF03606.18,C4-dicarboxylate anaerobic carrier,Family,12,549,5609,467.4,23,Pfam seed
,PF03607.20,Doublecortin,Family,205,83,12300,60.0,28,Pfam seed
,PF07782.16,DC-STAMP-like protein,Family,94,294,17826,189.6,25,Pfam seed
,PF10172.12,Det1 complexing ubiquitin ligase,Family,27,69,1704,63.1,40,Pfam seed
,PF19420.2,"N,N dimethylarginine dimethylhydrolase, eukaryotic",Family,12,312,3410,284.2,30,Pfam seed
,PF14428.9,Double-stranded DNA deaminase toxin A,Family,10,170,1351,135.1,23,Pfam seed
,PF10161.12,Putative mitochondrial precursor protein,Family,13,76,982,75.5,52,Pfam seed
,PF03455.22,dDENN domain,Domain,135,69,6772,50.2,30,Pfam seed
,PF03184.22,DDE superfamily endonuclease,Family,12,228,2158,179.8,23,Pfam seed
,PF02914.18,Bacteriophage Mu transposase,Domain,2,221,436,218.0,55,Pfam seed
,PF13358.9,DDE superfamily endonuclease,Domain,30,209,4441,148.0,21,Pfam seed
,PF13546.9,DDE superfamily endonuclease,Domain,58,373,15746,271.5,23,Pfam seed
,PF01609.24,Transposase DDE domain,Domain,91,369,18396,202.2,15,Pfam seed
,PF13586.9,Transposase DDE domain,Domain,11,97,982,89.3,30,Pfam seed
,PF13612.9,Transposase DDE domain,Domain,13,158,2020,155.4,53,Pfam seed
,PF13701.9,Transposase DDE domain group 1,Domain,31,523,13690,441.6,30,Pfam seed
,PF13737.9,Transposase DDE domain,Domain,15,117,1648,109.9,42,Pfam seed
,PF13751.9,Transposase DDE domain,Domain,25,151,3110,124.4,23,Pfam seed
,PF13843.9,Transposase IS4,Domain,26,527,9344,359.4,19,Pfam seed
,PF13808.9,DDE_Tnp_1-associated,Domain,115,102,10162,88.4,29,Pfam seed
,PF04693.15,Archaeal putative transposase ISC1217,Family,3,347,991,330.3,43,Pfam seed
,PF13359.9,DDE superfamily endonuclease,Domain,44,237,7078,160.9,23,Pfam seed
,PF03400.16,IS1 transposase,Family,2,131,261,130.5,44,Pfam seed
,PF12762.10,ISXO2-like transposase domain,Domain,28,202,4250,151.8,24,Pfam seed
,PF13610.9,DDE domain,Domain,10,149,1372,137.2,30,Pfam seed
,PF03050.17,Transposase IS66 family,Family,63,387,17937,284.7,28,Pfam seed
,PF13817.9,IS66 C-terminal element,Family,148,48,5727,38.7,40,Pfam seed
,PF07592.14,Rhodopirellula transposase DDE domain,Domain,22,331,6768,307.6,45,Pfam seed
,PF01610.20,Transposase,Family,56,356,13590,242.7,25,Pfam seed
,PF01526.20,Tn3 transposase DDE domain,Domain,88,427,34173,388.3,30,Pfam seed
,PF02862.20,DDHD domain,Family,146,780,38504,263.7,26,Pfam seed
,PF03345.17,Oligosaccharyltransferase 48 kDa subunit beta,Family,109,598,45092,413.7,35,Pfam seed
,PF08841.13,Diol dehydratase reactivase ATPase-like domain,Family,29,352,9475,326.7,54,Pfam seed
,PF12747.10,DdrB-like protein,Family,7,155,926,132.3,41,Pfam seed
,PF18763.4,ddrB-like ParB superfamily domain,Family,33,206,4250,128.8,32,Pfam seed
,PF09756.12,DDRGK domain,Family,12,198,2250,187.5,34,Pfam seed
,PF18427.4,DD-reactivating factor swiveling domain,Domain,56,168,9081,162.2,58,Pfam seed
,PF02791.20,DDT domain,Family,150,111,8962,59.7,26,Pfam seed
,PF12121.11,Dermaseptin,Family,14,30,326,23.3,51,Pfam seed
,PF00270.32,DEAD/DEAH box helicase,Domain,181,555,31501,174.0,24,Pfam seed
,PF06733.18,DEAD_2,Family,21,228,3706,176.5,32,Pfam seed
,PF08494.14,DEAD/H associated,Family,283,318,53205,188.0,27,Pfam seed
,PF12343.11,DeaD helicase C-terminal disordered region,Disordered,8,99,511,63.9,55,Pfam seed
,PF00531.25,Death domain,Domain,57,115,4718,82.8,19,Pfam seed
,PF14786.9,Tube Death domain,Domain,3,148,425,141.7,50,Pfam seed
,PF04624.17,Dec-1 repeat,Repeat,9,33,246,27.3,67,Pfam seed
,PF04626.16,"Dec-1 protein, C terminal region",Family,2,131,260,130.0,93,Pfam seed
,PF04625.16,"DEC-1 protein, N-terminal region",Family,3,472,1219,406.3,55,Pfam seed
,PF15859.8,Deleted in esophageal cancer 1 family,Family,3,70,209,69.7,82,Pfam seed
